"","GEOID","NAME","Minutes_Total_E","Minutes_Total_M","Minutes_Less_than_5_E","Minutes_Less_than_5_M","Minutes_5_to_9_E","Minutes_5_to_9_M","Minutes_10_to_14_E","Minutes_10_to_14_M","Minutes_15_to_19_E","Minutes_15_to_19_M","Minutes_20_to_24_E","Minutes_20_to_24_M","Minutes_25_to_29_E","Minutes_25_to_29_M","Minutes_30_to_34_E","Minutes_30_to_34_M","Minutes_35_to_39_E","Minutes_35_to_39_M","Minutes_40_to_44_E","Minutes_40_to_44_M","Minutes_45_to_59_E","Minutes_45_to_59_M","Minutes_60_to_89_E","Minutes_60_to_89_M","Minutes_90_or_more_E","Minutes_90_or_more_M","year"
"1","01","Alabama",1984610,16622,51363,4422,196214,7856,285238,9281,330771,9363,301239,9668,135316,6414,291010,9317,57230,4314,59987,4719,155551,5743,83771,5619,36920,3278,2016
"2","02","Alaska",344032,5454,29567,2699,64730,3850,64863,4661,69708,4073,49788,4293,12636,1839,21137,2472,2650,654,3975,1039,9822,1321,10098,1331,5058,1113,2016
"3","04","Arizona",2803061,17424,79087,5273,274014,10265,367788,10853,433132,9961,435998,11244,198992,7978,402858,11022,86832,4833,108107,6424,221181,8404,141546,7272,53526,4667,2016
"4","05","Arkansas",1224076,11906,57622,4486,172293,6853,221863,9503,215913,8574,170021,7262,66909,4799,130804,5659,26320,2878,33340,3204,71315,4579,41015,3524,16661,1974,2016
"5","06","California",16881674,45210,293319,9431,1288665,20535,2119483,24434,2469040,26432,2390808,23571,989589,18669,2549695,30756,461712,11666,737411,14958,1493472,21881,1403043,20985,685437,13541,2016
"6","08","Colorado",2586936,16169,75564,5455,268205,8471,345028,9094,401883,10218,391573,10680,180584,6763,370485,10548,78919,4754,99896,4911,200167,6869,128112,5838,46520,3391,2016
"7","09","Connecticut",1691805,11668,45115,3937,160140,6402,257027,7715,270155,8987,256075,7965,112790,5632,211354,7107,45444,3233,64971,4270,115144,5580,96477,5061,57113,4032,2016
"8","10","Delaware",419591,6667,9086,1757,30136,2978,57263,4476,65469,3779,72284,5077,30583,3017,66755,4688,9932,1857,17291,2012,28309,2912,22069,2745,10414,1835,2016
"9","11","District of Columbia",340443,5640,3889,1210,15326,2271,25537,2402,37845,3070,49787,3776,27326,2386,63723,4016,18284,2249,22970,2732,42501,3147,26246,2780,7009,1615,2016
"10","12","Florida",8574746,35611,142391,6441,616613,16514,1034562,22650,1279915,22673,1351251,21828,579516,15177,1420078,23251,294060,10684,365883,12447,777182,15688,513574,12799,199721,7951,2016
"11","13","Georgia",4417667,23918,92428,6518,351219,10859,560557,12500,651725,15431,627709,14878,257979,10559,634879,16487,143050,7383,172990,7795,440808,13619,346488,11643,137835,7126,2016
"12","15","Hawaii",673851,7592,14861,2112,63584,4302,86917,5200,95015,4815,87979,4511,37485,3294,111607,5567,16728,2111,30195,2792,60071,3986,52106,3621,17303,2246,2016
"13","16","Idaho",709089,9834,39470,3380,105371,5803,129083,5236,122727,6584,102501,6102,38201,3466,75786,5108,15960,2967,16257,2537,32725,3342,18343,2063,12665,1784,2016
"14","17","Illinois",5827667,21147,153077,6001,527706,12631,708472,13276,760556,15389,732123,12752,349866,9529,810079,16218,197804,6686,301295,10210,611218,12367,507789,11292,167682,5910,2016
"15","18","Indiana",2989065,14076,98106,4383,355873,9912,465078,10224,488360,12497,453635,10810,205054,6549,357305,10250,97788,4615,103819,5460,191389,6827,117589,5545,55069,3479,2016
"16","19","Iowa",1508674,9507,102873,4922,258824,6787,279691,8248,253805,7091,213529,6701,94229,4787,132475,4403,33131,2291,31729,2724,57538,3671,31936,2439,18914,1984,2016
"17","20","Kansas",1357805,9804,79612,4566,228377,7256,239816,5887,234308,8089,208857,7411,79021,4410,132113,6204,26758,2272,28692,2553,54046,3434,30587,2649,15618,1962,2016
"18","21","Kentucky",1852287,13833,64447,4526,209569,9140,290188,8250,318923,8723,286884,9267,117358,5792,235550,7815,53629,3835,55660,3963,114189,4563,73422,4976,32468,2988,2016
"19","22","Louisiana",1937891,14853,61059,4478,207996,8821,301343,11253,326865,9472,293349,9549,113480,7224,258409,8319,42860,3729,53263,4453,130187,6649,93216,6172,55864,4529,2016
"20","23","Maine",607191,7916,29818,3032,76696,4368,92700,4812,93827,4519,76343,4100,42982,3604,71825,4739,20106,2358,19568,1880,43538,3422,26101,2339,13687,2644,2016
"21","24","Maryland",2900577,15090,43396,4307,168126,6868,272812,9577,364710,9658,370589,10704,182610,7396,420100,11798,112741,5682,150816,7216,361080,9729,327832,8957,125765,5846,2016
"22","25","Massachusetts",3324848,18397,75062,4676,277040,8415,392781,9412,433364,11308,431513,9968,196788,7232,475149,12043,112668,4892,159993,7796,351687,10318,307120,7955,111683,6300,2016
"23","26","Michigan",4312029,19320,128656,5125,458949,10135,638267,11494,704017,12213,646586,10996,303745,7989,539769,8951,132784,4917,173108,5829,317760,7781,186979,6249,81409,4168,2016
"24","27","Minnesota",2701150,11132,100925,3951,337355,8819,392717,8120,420642,9414,400613,8801,199858,6659,338723,7555,85405,4730,103159,4772,174108,5490,104094,4882,43551,2721,2016
"25","28","Mississippi",1187935,13776,39627,3138,134181,7274,189107,8149,196457,6923,179145,7743,72451,4998,162976,7666,28346,2981,29874,2985,79280,5475,45264,3562,31227,3006,2016
"26","29","Missouri",2715276,17846,99730,5619,318109,10092,388099,10350,441537,10738,408577,10175,181420,6901,372037,9111,82903,5171,95083,5504,181412,6515,99659,5345,46710,3772,2016
"27","30","Montana",464730,6167,39506,2871,86910,4221,101051,5198,89761,4807,56085,4005,17748,2142,32561,2530,4680,892,7180,1136,12159,1517,9871,1425,7218,1411,2016
"28","31","Nebraska",931182,8300,64468,3674,158720,5958,170117,5759,155528,5279,143845,5577,62249,3424,86185,4369,16005,2026,15253,1579,31763,2645,16272,1918,10777,1522,2016
"29","32","Nevada",1298808,11065,26692,2939,98750,5778,180483,7861,222900,7752,240116,9568,111685,5995,211245,8179,34431,3310,40935,3261,65277,3851,41336,3436,24958,2518,2016
"30","33","New Hampshire",661417,7223,28134,3783,68979,4382,90810,5078,93330,4641,87607,5049,47027,3527,79483,4693,21826,2456,29059,2829,52329,2979,40576,3426,22257,2118,2016
"31","34","New Jersey",4137529,23123,83444,4685,325024,9666,477005,11402,514407,11824,535378,10732,264455,9201,541194,12961,128898,5175,196091,7461,421404,10152,438706,10669,211523,7299,2016
"32","35","New Mexico",833268,8499,28970,2965,115513,6647,143355,5878,146746,6594,131055,6183,41711,3510,95475,5735,14964,2556,21199,2214,49343,4101,30394,3042,14543,1816,2016
"33","36","New York",8891344,27148,198955,6993,633201,12555,900794,15475,1039322,17009,1066216,17636,479132,11881,1258236,21840,267076,9031,470659,10904,980813,15323,1100503,20171,496437,11445,2016
"34","37","North Carolina",4376042,20809,113761,6041,414616,11856,640447,13984,750942,15314,689765,13582,312150,9946,602734,13177,138964,6573,147429,6309,311070,9866,175464,6797,78700,4789,2016
"35","38","North Dakota",385232,5264,33331,2661,74404,4460,84735,4622,81419,4622,39699,3187,12507,1678,22945,2064,3535,960,4949,1161,12067,2110,8107,1313,7534,1391,2016
"36","39","Ohio",5201642,23525,180235,6416,572592,10933,749131,14265,850823,13522,833254,13385,417471,10478,645581,13052,169316,7167,185001,6664,327882,8856,185927,7455,84429,4247,2016
"37","40","Oklahoma",1655428,10531,71280,3722,228030,6448,272418,8628,289119,8294,254867,7165,104317,4014,201509,6222,37947,2420,42144,2741,81198,3393,47284,2806,25315,1972,2016
"38","41","Oregon",1773710,13766,66882,4146,214416,8664,272824,10559,293860,7951,248532,6773,111428,5591,214879,9220,50642,3320,61673,3951,121839,5835,81883,4843,34852,3316,2016
