"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Standard Error
	"Autauga County, AL"	"01001"	"2009"	"2009"	12	54135	Unreliable	6.4	Unreliable	6.1
	"Autauga County, AL"	"01001"	"2010"	"2010"	10	54571	Unreliable	5.8	Unreliable	5.9
	"Autauga County, AL"	"01001"	"2011"	"2011"	12	55267	Unreliable	6.3	Unreliable	6.3
	"Autauga County, AL"	"01001"	"2013"	"2013"	13	55246	Unreliable	6.5	Unreliable	6.3
	"Autauga County, AL"	"01001"	"2014"	"2014"	14	55395	Unreliable	6.8	Unreliable	6.6
	"Autauga County, AL"	"01001"	"2016"	"2016"	16	55416	Unreliable	7.2	Unreliable	7.3
	"Baldwin County, AL"	"01003"	"2009"	"2009"	32	179406	17.8	3.2	17.5	3.2
	"Baldwin County, AL"	"01003"	"2010"	"2010"	30	182265	16.5	3.0	16.9	3.2
	"Baldwin County, AL"	"01003"	"2011"	"2011"	29	186717	15.5	2.9	14.8	2.8
	"Baldwin County, AL"	"01003"	"2012"	"2012"	23	190790	12.1	2.5	12.3	2.7
	"Baldwin County, AL"	"01003"	"2013"	"2013"	35	195540	17.9	3.0	17.9	3.1
	"Baldwin County, AL"	"01003"	"2014"	"2014"	35	200111	17.5	3.0	17.1	3.0
	"Baldwin County, AL"	"01003"	"2015"	"2015"	36	203709	17.7	2.9	16.5	2.8
	"Baldwin County, AL"	"01003"	"2016"	"2016"	37	208563	17.7	2.9	19.4	3.3
	"Bibb County, AL"	"01007"	"2010"	"2010"	10	22915	Unreliable	13.8	Unreliable	14.0
	"Bibb County, AL"	"01007"	"2016"	"2016"	10	22643	Unreliable	14.0	Unreliable	13.7
	"Blount County, AL"	"01009"	"2009"	"2009"	12	57341	Unreliable	6.0	Unreliable	6.2
	"Blount County, AL"	"01009"	"2010"	"2010"	10	57322	Unreliable	5.5	Unreliable	5.8
	"Blount County, AL"	"01009"	"2011"	"2011"	13	57677	Unreliable	6.3	Unreliable	6.7
	"Blount County, AL"	"01009"	"2012"	"2012"	13	57826	Unreliable	6.2	Unreliable	6.2
	"Blount County, AL"	"01009"	"2013"	"2013"	14	57872	Unreliable	6.5	Unreliable	7.2
	"Blount County, AL"	"01009"	"2014"	"2014"	11	57719	Unreliable	5.7	Unreliable	6.4
	"Blount County, AL"	"01009"	"2015"	"2015"	16	57673	Unreliable	6.9	Unreliable	6.1
	"Blount County, AL"	"01009"	"2016"	"2016"	19	57704	Unreliable	7.6	Unreliable	8.3
	"Butler County, AL"	"01013"	"2015"	"2015"	10	20154	Unreliable	15.7	Unreliable	18.0
	"Calhoun County, AL"	"01015"	"2009"	"2009"	22	118363	18.6	4.0	18.7	4.0
	"Calhoun County, AL"	"01015"	"2010"	"2010"	15	118572	Unreliable	3.3	Unreliable	3.2
	"Calhoun County, AL"	"01015"	"2011"	"2011"	22	117797	18.7	4.0	20.1	4.4
	"Calhoun County, AL"	"01015"	"2012"	"2012"	12	117296	Unreliable	3.0	Unreliable	3.2
	"Calhoun County, AL"	"01015"	"2013"	"2013"	19	116736	Unreliable	3.7	Unreliable	3.9
	"Calhoun County, AL"	"01015"	"2014"	"2014"	21	115916	18.1	4.0	18.9	4.2
	"Calhoun County, AL"	"01015"	"2015"	"2015"	22	115620	19.0	4.1	20.1	4.4
	"Calhoun County, AL"	"01015"	"2016"	"2016"	33	114611	28.8	5.0	31.0	5.5
	"Chambers County, AL"	"01017"	"2012"	"2012"	11	34064	Unreliable	9.7	Unreliable	10.9
	"Chambers County, AL"	"01017"	"2016"	"2016"	17	33843	Unreliable	12.2	Unreliable	12.6
	"Cherokee County, AL"	"01019"	"2013"	"2013"	12	26203	Unreliable	13.2	Unreliable	15.7
	"Cherokee County, AL"	"01019"	"2016"	"2016"	11	25725	Unreliable	12.9	Unreliable	14.9
	"Chilton County, AL"	"01021"	"2009"	"2009"	13	43484	Unreliable	8.3	Unreliable	8.1
	"Chilton County, AL"	"01021"	"2012"	"2012"	14	43819	Unreliable	8.5	Unreliable	8.7
	"Chilton County, AL"	"01021"	"2013"	"2013"	14	43951	Unreliable	8.5	Unreliable	9.2
	"Chilton County, AL"	"01021"	"2014"	"2014"	13	43931	Unreliable	8.2	Unreliable	8.2
	"Chilton County, AL"	"01021"	"2015"	"2015"	13	43943	Unreliable	8.2	Unreliable	8.5
	"Chilton County, AL"	"01021"	"2016"	"2016"	11	43941	Unreliable	7.5	Unreliable	7.3
	"Choctaw County, AL"	"01023"	"2012"	"2012"	10	13633	Unreliable	23.2	Unreliable	25.8
