"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Standard Error
	"Alabama"	"01"	"2009"	"2009"	649	3587291	18.1	0.7	17.8	0.7
	"Alabama"	"01"	"2010"	"2010"	674	3608396	18.7	0.7	18.4	0.7
	"Alabama"	"01"	"2011"	"2011"	694	3635692	19.1	0.7	19.0	0.7
	"Alabama"	"01"	"2012"	"2012"	623	3658254	17.0	0.7	16.7	0.7
	"Alabama"	"01"	"2013"	"2013"	621	3674361	16.9	0.7	16.9	0.7
	"Alabama"	"01"	"2014"	"2014"	623	3693122	16.9	0.7	16.6	0.7
	"Alabama"	"01"	"2015"	"2015"	659	3706334	17.8	0.7	17.5	0.7
	"Alabama"	"01"	"2016"	"2016"	803	3716798	21.6	0.8	21.6	0.8
	"Alaska"	"02"	"2009"	"2009"	44	469800	9.4	1.4	10.1	1.6
	"Alaska"	"02"	"2010"	"2010"	69	478402	14.4	1.7	15.7	2.0
	"Alaska"	"02"	"2011"	"2011"	61	486708	12.5	1.6	12.9	1.7
	"Alaska"	"02"	"2012"	"2012"	50	492807	10.1	1.4	10.0	1.5
	"Alaska"	"02"	"2013"	"2013"	62	496578	12.5	1.6	11.9	1.6
	"Alaska"	"02"	"2014"	"2014"	65	498249	13.0	1.6	12.2	1.5
	"Alaska"	"02"	"2015"	"2015"	55	499421	11.0	1.5	11.9	1.7
	"Alaska"	"02"	"2016"	"2016"	73	503162	14.5	1.7	14.1	1.7
	"Arizona"	"04"	"2009"	"2009"	734	5997329	12.2	0.5	12.1	0.5
	"Arizona"	"04"	"2010"	"2010"	734	6045887	12.1	0.4	12.0	0.4
	"Arizona"	"04"	"2011"	"2011"	772	6135714	12.6	0.5	12.4	0.5
	"Arizona"	"04"	"2012"	"2012"	741	6206020	11.9	0.4	11.7	0.4
	"Arizona"	"04"	"2013"	"2013"	786	6280692	12.5	0.4	12.2	0.4
	"Arizona"	"04"	"2014"	"2014"	756	6384207	11.8	0.4	11.5	0.4
	"Arizona"	"04"	"2015"	"2015"	821	6481347	12.7	0.4	12.5	0.4
	"Arizona"	"04"	"2016"	"2016"	922	6580863	14.0	0.5	13.6	0.5
	"Arkansas"	"05"	"2009"	"2009"	318	1734669	18.3	1.0	18.3	1.0
	"Arkansas"	"05"	"2010"	"2010"	325	1752413	18.5	1.0	18.4	1.0
	"Arkansas"	"05"	"2011"	"2011"	311	1775982	17.5	1.0	17.4	1.0
	"Arkansas"	"05"	"2012"	"2012"	286	1791210	16.0	0.9	15.8	0.9
	"Arkansas"	"05"	"2013"	"2013"	284	1807274	15.7	0.9	15.9	1.0
	"Arkansas"	"05"	"2014"	"2014"	291	1820771	16.0	0.9	16.0	1.0
	"Arkansas"	"05"	"2015"	"2015"	296	1836621	16.1	0.9	16.0	0.9
	"Arkansas"	"05"	"2016"	"2016"	362	1851864	19.5	1.0	19.3	1.0
	"California"	"06"	"2009"	"2009"	3396	36117202	9.4	0.2	9.3	0.2
	"California"	"06"	"2010"	"2010"	3002	36408727	8.2	0.2	8.1	0.1
	"California"	"06"	"2011"	"2011"	3098	36849863	8.4	0.2	8.3	0.2
	"California"	"06"	"2012"	"2012"	3209	37204989	8.6	0.2	8.5	0.2
	"California"	"06"	"2013"	"2013"	3441	37501722	9.2	0.2	9.0	0.2
	"California"	"06"	"2014"	"2014"	3513	37971511	9.3	0.2	9.0	0.2
	"California"	"06"	"2015"	"2015"	3858	38313256	10.1	0.2	9.7	0.2
	"California"	"06"	"2016"	"2016"	4236	38417443	11.0	0.2	10.7	0.2
	"Colorado"	"08"	"2009"	"2009"	448	4284191	10.5	0.5	10.5	0.5
	"Colorado"	"08"	"2010"	"2010"	412	4341903	9.5	0.5	9.5	0.5
	"Colorado"	"08"	"2011"	"2011"	407	4430992	9.2	0.5	9.1	0.5
	"Colorado"	"08"	"2012"	"2012"	425	4501758	9.4	0.5	9.4	0.5
	"Colorado"	"08"	"2013"	"2013"	425	4580621	9.3	0.5	9.1	0.4
	"Colorado"	"08"	"2014"	"2014"	458	4666421	9.8	0.5	9.7	0.5
	"Colorado"	"08"	"2015"	"2015"	512	4762413	10.8	0.5	10.4	0.5
	"Colorado"	"08"	"2016"	"2016"	561	4837761	11.6	0.5	11.3	0.5
	"Connecticut"	"09"	"2009"	"2009"	268	3371792	7.9	0.5	7.9	0.5
	"Connecticut"	"09"	"2010"	"2010"	320	3384170	9.5	0.5	9.2	0.5
	"Connecticut"	"09"	"2011"	"2011"	233	3391920	6.9	0.5	6.6	0.4
	"Connecticut"	"09"	"2012"	"2012"	278	3402817	8.2	0.5	7.9	0.5
	"Connecticut"	"09"	"2013"	"2013"	297	3409156	8.7	0.5	8.6	0.5
	"Connecticut"	"09"	"2014"	"2014"	269	3411684	7.9	0.5	7.6	0.5
