"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Standard Error
	"Alabama"	"01"	"2009"	"2009"	966	4757938	20.3	0.7	20.0	0.7
	"Alabama"	"01"	"2010"	"2010"	971	4779736	20.3	0.7	20.2	0.7
	"Alabama"	"01"	"2011"	"2011"	992	4802740	20.7	0.7	20.6	0.7
	"Alabama"	"01"	"2012"	"2012"	900	4822023	18.7	0.6	18.5	0.6
	"Alabama"	"01"	"2013"	"2013"	938	4833722	19.4	0.6	19.4	0.6
	"Alabama"	"01"	"2014"	"2014"	930	4849377	19.2	0.6	18.9	0.6
	"Alabama"	"01"	"2015"	"2015"	995	4858979	20.5	0.6	20.1	0.6
	"Alabama"	"01"	"2016"	"2016"	1186	4863300	24.4	0.7	24.4	0.7
	"Alaska"	"02"	"2009"	"2009"	94	698895	13.4	1.4	13.6	1.4
	"Alaska"	"02"	"2010"	"2010"	109	710231	15.3	1.5	16.0	1.6
	"Alaska"	"02"	"2011"	"2011"	118	722718	16.3	1.5	16.8	1.6
	"Alaska"	"02"	"2012"	"2012"	89	731449	12.2	1.3	12.2	1.4
	"Alaska"	"02"	"2013"	"2013"	101	735132	13.7	1.4	13.3	1.4
	"Alaska"	"02"	"2014"	"2014"	108	736732	14.7	1.4	13.9	1.4
	"Alaska"	"02"	"2015"	"2015"	90	738432	12.2	1.3	12.6	1.4
	"Alaska"	"02"	"2016"	"2016"	141	741894	19.0	1.6	18.9	1.7
	"Arizona"	"04"	"2009"	"2009"	852	6343154	13.4	0.5	13.4	0.5
	"Arizona"	"04"	"2010"	"2010"	840	6392017	13.1	0.5	13.0	0.5
	"Arizona"	"04"	"2011"	"2011"	909	6482505	14.0	0.5	13.8	0.5
	"Arizona"	"04"	"2012"	"2012"	860	6553255	13.1	0.4	13.0	0.4
	"Arizona"	"04"	"2013"	"2013"	904	6626624	13.6	0.5	13.3	0.4
	"Arizona"	"04"	"2014"	"2014"	885	6731484	13.1	0.4	12.8	0.4
	"Arizona"	"04"	"2015"	"2015"	959	6828065	14.0	0.5	13.9	0.5
	"Arizona"	"04"	"2016"	"2016"	1034	6931071	14.9	0.5	14.6	0.5
	"Arkansas"	"05"	"2009"	"2009"	659	2896843	22.7	0.9	22.7	0.9
	"Arkansas"	"05"	"2010"	"2010"	647	2915918	22.2	0.9	22.0	0.9
	"Arkansas"	"05"	"2011"	"2011"	620	2937979	21.1	0.8	21.1	0.9
	"Arkansas"	"05"	"2012"	"2012"	635	2949131	21.5	0.9	21.2	0.9
	"Arkansas"	"05"	"2013"	"2013"	560	2959373	18.9	0.8	19.0	0.8
	"Arkansas"	"05"	"2014"	"2014"	556	2966369	18.7	0.8	18.8	0.8
	"Arkansas"	"05"	"2015"	"2015"	620	2978204	20.8	0.8	20.5	0.8
	"Arkansas"	"05"	"2016"	"2016"	661	2988248	22.1	0.9	21.7	0.9
	"California"	"06"	"2009"	"2009"	3561	36961229	9.6	0.2	9.5	0.2
	"California"	"06"	"2010"	"2010"	3162	37253956	8.5	0.2	8.4	0.1
	"California"	"06"	"2011"	"2011"	3268	37691912	8.7	0.2	8.5	0.2
	"California"	"06"	"2012"	"2012"	3378	38041430	8.9	0.2	8.7	0.2
	"California"	"06"	"2013"	"2013"	3614	38332521	9.4	0.2	9.2	0.2
	"California"	"06"	"2014"	"2014"	3682	38802500	9.5	0.2	9.2	0.2
	"California"	"06"	"2015"	"2015"	4004	39144818	10.2	0.2	9.9	0.2
	"California"	"06"	"2016"	"2016"	4431	39250017	11.3	0.2	10.9	0.2
	"Colorado"	"08"	"2009"	"2009"	605	4972195	12.2	0.5	12.2	0.5
	"Colorado"	"08"	"2010"	"2010"	528	5029196	10.5	0.5	10.4	0.5
	"Colorado"	"08"	"2011"	"2011"	541	5116796	10.6	0.5	10.4	0.5
	"Colorado"	"08"	"2012"	"2012"	562	5187582	10.8	0.5	10.7	0.5
	"Colorado"	"08"	"2013"	"2013"	550	5268367	10.4	0.4	10.2	0.4
	"Colorado"	"08"	"2014"	"2014"	583	5355866	10.9	0.5	10.7	0.4
	"Colorado"	"08"	"2015"	"2015"	638	5456574	11.7	0.5	11.3	0.5
	"Colorado"	"08"	"2016"	"2016"	695	5540545	12.5	0.5	12.1	0.5
	"Connecticut"	"09"	"2009"	"2009"	283	3561807	7.9	0.5	7.9	0.5
	"Connecticut"	"09"	"2010"	"2010"	343	3574097	9.6	0.5	9.3	0.5
	"Connecticut"	"09"	"2011"	"2011"	248	3580709	6.9	0.4	6.7	0.4
	"Connecticut"	"09"	"2012"	"2012"	303	3590347	8.4	0.5	8.1	0.5
	"Connecticut"	"09"	"2013"	"2013"	316	3596080	8.8	0.5	8.7	0.5
	"Connecticut"	"09"	"2014"	"2014"	286	3596677	8.0	0.5	7.7	0.5
	"Connecticut"	"09"	"2015"	"2015"	299	3590886	8.3	0.5	8.0	0.5
	"Connecticut"	"09"	"2016"	"2016"	323	3576452	9.0	0.5	8.5	0.5
	"Delaware"	"10"	"2009"	"2009"	114	891730	12.8	1.2	12.8	1.2
	"Delaware"	"10"	"2010"	"2010"	116	897934	12.9	1.2	13.0	1.2
	"Delaware"	"10"	"2011"	"2011"	100	907135	11.0	1.1	11.1	1.1
	"Delaware"	"10"	"2012"	"2012"	114	917092	12.4	1.2	12.5	1.2
	"Delaware"	"10"	"2013"	"2013"	118	925749	12.7	1.2	12.3	1.2
	"Delaware"	"10"	"2014"	"2014"	131	935614	14.0	1.2	13.7	1.2
	"Delaware"	"10"	"2015"	"2015"	137	945934	14.5	1.2	14.1	1.3
	"Delaware"	"10"	"2016"	"2016"	122	952065	12.8	1.2	12.5	1.2
	"District of Columbia"	"11"	"2009"	"2009"	48	592228	8.1	1.2	7.6	1.1
	"District of Columbia"	"11"	"2010"	"2010"	42	601723	7.0	1.1	6.6	1.1
	"District of Columbia"	"11"	"2011"	"2011"	41	617996	6.6	1.0	6.0	1.0
	"District of Columbia"	"11"	"2012"	"2012"	44	632323	7.0	1.0	6.7	1.1
	"District of Columbia"	"11"	"2013"	"2013"	35	646449	5.4	0.9	5.6	1.0
	"District of Columbia"	"11"	"2014"	"2014"	38	658893	5.8	0.9	5.4	0.9
	"District of Columbia"	"11"	"2015"	"2015"	45	672228	6.7	1.0	6.8	1.1
	"District of Columbia"	"11"	"2016"	"2016"	36	681170	5.3	0.9	5.1	0.9
	"Florida"	"12"	"2009"	"2009"	2759	18652644	14.8	0.3	14.4	0.3
	"Florida"	"12"	"2010"	"2010"	2689	18801310	14.3	0.3	13.7	0.3
	"Florida"	"12"	"2011"	"2011"	2646	19057542	13.9	0.3	13.3	0.3
	"Florida"	"12"	"2012"	"2012"	2632	19317568	13.6	0.3	13.0	0.3
	"Florida"	"12"	"2013"	"2013"	2574	19552860	13.2	0.3	12.6	0.3
	"Florida"	"12"	"2014"	"2014"	2706	19893297	13.6	0.3	13.1	0.3
	"Florida"	"12"	"2015"	"2015"	3142	20271272	15.5	0.3	15.0	0.3
	"Florida"	"12"	"2016"	"2016"	3369	20612439	16.3	0.3	15.8	0.3
	"Georgia"	"13"	"2009"	"2009"	1411	9620846	14.7	0.4	14.8	0.4
	"Georgia"	"13"	"2010"	"2010"	1385	9687653	14.3	0.4	14.5	0.4
	"Georgia"	"13"	"2011"	"2011"	1344	9815210	13.7	0.4	13.7	0.4
	"Georgia"	"13"	"2012"	"2012"	1364	9919945	13.8	0.4	13.8	0.4
	"Georgia"	"13"	"2013"	"2013"	1332	9992167	13.3	0.4	13.3	0.4
	"Georgia"	"13"	"2014"	"2014"	1336	10097343	13.2	0.4	13.1	0.4
	"Georgia"	"13"	"2015"	"2015"	1512	10214860	14.8	0.4	14.7	0.4
	"Georgia"	"13"	"2016"	"2016"	1683	10310371	16.3	0.4	16.1	0.4
	"Hawaii"	"15"	"2009"	"2009"	131	1346717	9.7	0.8	9.6	0.8
	"Hawaii"	"15"	"2010"	"2010"	128	1360301	9.4	0.8	9.3	0.8
	"Hawaii"	"15"	"2011"	"2011"	126	1374810	9.2	0.8	8.9	0.8
	"Hawaii"	"15"	"2012"	"2012"	138	1392313	9.9	0.8	9.5	0.8
	"Hawaii"	"15"	"2013"	"2013"	120	1404054	8.5	0.8	8.3	0.8
	"Hawaii"	"15"	"2014"	"2014"	119	1419561	8.4	0.8	8.0	0.8
