"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"Alabama"	"01"	"2009"	"2009"	"1-4 years"	"1-4"	11	184760	Unreliable	1.8
	"Alabama"	"01"	"2009"	"2009"	"5-14 years"	"5-14"	18	473110	Unreliable	0.9
	"Alabama"	"01"	"2009"	"2009"	"15-24 years"	"15-24"	132	523433	25.2	2.2
	"Alabama"	"01"	"2009"	"2009"	"25-34 years"	"25-34"	106	468514	22.6	2.2
	"Alabama"	"01"	"2009"	"2009"	"35-44 years"	"35-44"	92	475766	19.3	2.0
	"Alabama"	"01"	"2009"	"2009"	"45-54 years"	"45-54"	94	523102	18.0	1.9
	"Alabama"	"01"	"2009"	"2009"	"55-64 years"	"55-64"	90	423430	21.3	2.2
	"Alabama"	"01"	"2009"	"2009"	"65-74 years"	"65-74"	50	261399	19.1	2.7
	"Alabama"	"01"	"2009"	"2009"	"75-84 years"	"75-84"	37	152394	24.3	4.0
	"Alabama"	"01"	"2009"	"2009"	"85+ years"	"85+"	19	54297	Unreliable	8.0
	"Alabama"	"01"	"2010"	"2010"	"5-14 years"	"5-14"	19	474695	Unreliable	0.9
	"Alabama"	"01"	"2010"	"2010"	"15-24 years"	"15-24"	140	524010	26.7	2.3
	"Alabama"	"01"	"2010"	"2010"	"25-34 years"	"25-34"	127	472005	26.9	2.4
	"Alabama"	"01"	"2010"	"2010"	"35-44 years"	"35-44"	98	470648	20.8	2.1
	"Alabama"	"01"	"2010"	"2010"	"45-54 years"	"45-54"	104	524441	19.8	1.9
	"Alabama"	"01"	"2010"	"2010"	"55-64 years"	"55-64"	83	435505	19.1	2.1
	"Alabama"	"01"	"2010"	"2010"	"65-74 years"	"65-74"	45	266038	16.9	2.5
	"Alabama"	"01"	"2010"	"2010"	"75-84 years"	"75-84"	30	153697	19.5	3.6
	"Alabama"	"01"	"2010"	"2010"	"85+ years"	"85+"	18	55380	Unreliable	7.7
	"Alabama"	"01"	"2011"	"2011"	"1-4 years"	"1-4"	10	186478	Unreliable	1.7
	"Alabama"	"01"	"2011"	"2011"	"5-14 years"	"5-14"	16	474822	Unreliable	0.8
	"Alabama"	"01"	"2011"	"2011"	"15-24 years"	"15-24"	130	527238	24.7	2.2
	"Alabama"	"01"	"2011"	"2011"	"25-34 years"	"25-34"	126	478389	26.3	2.3
	"Alabama"	"01"	"2011"	"2011"	"35-44 years"	"35-44"	111	463300	24.0	2.3
	"Alabama"	"01"	"2011"	"2011"	"45-54 years"	"45-54"	114	518847	22.0	2.1
	"Alabama"	"01"	"2011"	"2011"	"55-64 years"	"55-64"	74	453791	16.3	1.9
	"Alabama"	"01"	"2011"	"2011"	"65-74 years"	"65-74"	54	273949	19.7	2.7
	"Alabama"	"01"	"2011"	"2011"	"75-84 years"	"75-84"	40	155983	25.6	4.1
	"Alabama"	"01"	"2011"	"2011"	"85+ years"	"85+"	16	57328	Unreliable	7.0
	"Alabama"	"01"	"2012"	"2012"	"1-4 years"	"1-4"	13	187518	Unreliable	1.9
	"Alabama"	"01"	"2012"	"2012"	"5-14 years"	"5-14"	10	476640	Unreliable	0.7
	"Alabama"	"01"	"2012"	"2012"	"15-24 years"	"15-24"	120	522900	22.9	2.1
	"Alabama"	"01"	"2012"	"2012"	"25-34 years"	"25-34"	106	482337	22.0	2.1
	"Alabama"	"01"	"2012"	"2012"	"35-44 years"	"35-44"	93	464001	20.0	2.1
	"Alabama"	"01"	"2012"	"2012"	"45-54 years"	"45-54"	92	511046	18.0	1.9
	"Alabama"	"01"	"2012"	"2012"	"55-64 years"	"55-64"	85	459687	18.5	2.0
	"Alabama"	"01"	"2012"	"2012"	"65-74 years"	"65-74"	61	291220	20.9	2.7
	"Alabama"	"01"	"2012"	"2012"	"75-84 years"	"75-84"	27	157114	17.2	3.3
	"Alabama"	"01"	"2012"	"2012"	"85+ years"	"85+"	12	59077	Unreliable	5.9
	"Alabama"	"01"	"2013"	"2013"	"5-14 years"	"5-14"	17	475598	Unreliable	0.9
	"Alabama"	"01"	"2013"	"2013"	"15-24 years"	"15-24"	118	522245	22.6	2.1
	"Alabama"	"01"	"2013"	"2013"	"25-34 years"	"25-34"	113	486398	23.2	2.2
	"Alabama"	"01"	"2013"	"2013"	"35-44 years"	"35-44"	103	465728	22.1	2.2
	"Alabama"	"01"	"2013"	"2013"	"45-54 years"	"45-54"	98	504968	19.4	2.0
	"Alabama"	"01"	"2013"	"2013"	"55-64 years"	"55-64"	82	466447	17.6	1.9
	"Alabama"	"01"	"2013"	"2013"	"65-74 years"	"65-74"	25	303794	8.2	1.6
	"Alabama"	"01"	"2013"	"2013"	"75-84 years"	"75-84"	36	159645	22.6	3.8
	"Alabama"	"01"	"2013"	"2013"	"85+ years"	"85+"	19	60760	Unreliable	7.2
	"Alabama"	"01"	"2014"	"2014"	"5-14 years"	"5-14"	17	474589	Unreliable	0.9
	"Alabama"	"01"	"2014"	"2014"	"15-24 years"	"15-24"	112	518002	21.6	2.0
	"Alabama"	"01"	"2014"	"2014"	"25-34 years"	"25-34"	103	491872	20.9	2.1
	"Alabama"	"01"	"2014"	"2014"	"35-44 years"	"35-44"	91	465597	19.5	2.0
	"Alabama"	"01"	"2014"	"2014"	"45-54 years"	"45-54"	94	500282	18.8	1.9
	"Alabama"	"01"	"2014"	"2014"	"55-64 years"	"55-64"	76	472826	16.1	1.8
	"Alabama"	"01"	"2014"	"2014"	"65-74 years"	"65-74"	61	317418	19.2	2.5
	"Alabama"	"01"	"2014"	"2014"	"75-84 years"	"75-84"	40	163015	24.5	3.9
	"Alabama"	"01"	"2014"	"2014"	"85+ years"	"85+"	19	62069	Unreliable	7.0
	"Alabama"	"01"	"2015"	"2015"	"5-14 years"	"5-14"	17	471209	Unreliable	0.9
	"Alabama"	"01"	"2015"	"2015"	"15-24 years"	"15-24"	120	511955	23.4	2.1
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	116	497613	23.3	2.2
	"Alabama"	"01"	"2015"	"2015"	"35-44 years"	"35-44"	90	464302	19.4	2.0
	"Alabama"	"01"	"2015"	"2015"	"45-54 years"	"45-54"	117	495862	23.6	2.2
	"Alabama"	"01"	"2015"	"2015"	"55-64 years"	"55-64"	88	480553	18.3	2.0
	"Alabama"	"01"	"2015"	"2015"	"65-74 years"	"65-74"	51	329197	15.5	2.2
	"Alabama"	"01"	"2015"	"2015"	"75-84 years"	"75-84"	30	165656	18.1	3.3
	"Alabama"	"01"	"2015"	"2015"	"85+ years"	"85+"	23	63674	36.1	7.5
	"Alabama"	"01"	"2016"	"2016"	"5-14 years"	"5-14"	17	467565	Unreliable	0.9
	"Alabama"	"01"	"2016"	"2016"	"15-24 years"	"15-24"	148	505534	29.3	2.4
	"Alabama"	"01"	"2016"	"2016"	"25-34 years"	"25-34"	164	501415	32.7	2.6
	"Alabama"	"01"	"2016"	"2016"	"35-44 years"	"35-44"	135	460638	29.3	2.5
	"Alabama"	"01"	"2016"	"2016"	"45-54 years"	"45-54"	121	492334	24.6	2.2
	"Alabama"	"01"	"2016"	"2016"	"55-64 years"	"55-64"	92	487644	18.9	2.0
	"Alabama"	"01"	"2016"	"2016"	"65-74 years"	"65-74"	62	341488	18.2	2.3
	"Alabama"	"01"	"2016"	"2016"	"75-84 years"	"75-84"	38	169376	22.4	3.6
	"Alabama"	"01"	"2016"	"2016"	"85+ years"	"85+"	17	64561	Unreliable	6.4
	"Alaska"	"02"	"2009"	"2009"	"25-34 years"	"25-34"	13	69615	Unreliable	5.2
	"Alaska"	"02"	"2010"	"2010"	"15-24 years"	"15-24"	12	74433	Unreliable	4.7
	"Alaska"	"02"	"2010"	"2010"	"25-34 years"	"25-34"	10	73267	Unreliable	4.3
	"Alaska"	"02"	"2010"	"2010"	"45-54 years"	"45-54"	13	72460	Unreliable	5.0
	"Alaska"	"02"	"2010"	"2010"	"55-64 years"	"55-64"	11	54552	Unreliable	6.1
	"Alaska"	"02"	"2011"	"2011"	"15-24 years"	"15-24"	10	75559	Unreliable	4.2
	"Alaska"	"02"	"2011"	"2011"	"45-54 years"	"45-54"	16	71560	Unreliable	5.6
	"Alaska"	"02"	"2012"	"2012"	"25-34 years"	"25-34"	10	79050	Unreliable	4.0
	"Alaska"	"02"	"2012"	"2012"	"45-54 years"	"45-54"	11	69309	Unreliable	4.8
	"Alaska"	"02"	"2013"	"2013"	"15-24 years"	"15-24"	11	79727	Unreliable	4.2
	"Alaska"	"02"	"2013"	"2013"	"25-34 years"	"25-34"	16	81878	Unreliable	4.9
	"Alaska"	"02"	"2013"	"2013"	"55-64 years"	"55-64"	13	58912	Unreliable	6.1
	"Alaska"	"02"	"2014"	"2014"	"15-24 years"	"15-24"	11	79244	Unreliable	4.2
	"Alaska"	"02"	"2014"	"2014"	"25-34 years"	"25-34"	14	84851	Unreliable	4.4
	"Alaska"	"02"	"2014"	"2014"	"45-54 years"	"45-54"	16	63644	Unreliable	6.3
	"Alaska"	"02"	"2014"	"2014"	"55-64 years"	"55-64"	12	59062	Unreliable	5.9
	"Alaska"	"02"	"2015"	"2015"	"15-24 years"	"15-24"	11	78341	Unreliable	4.2
	"Alaska"	"02"	"2015"	"2015"	"35-44 years"	"35-44"	12	61863	Unreliable	5.6
	"Alaska"	"02"	"2016"	"2016"	"15-24 years"	"15-24"	14	74554	Unreliable	5.0
	"Alaska"	"02"	"2016"	"2016"	"25-34 years"	"25-34"	15	86157	Unreliable	4.5
	"Alaska"	"02"	"2016"	"2016"	"55-64 years"	"55-64"	14	60796	Unreliable	6.2
	"Arizona"	"04"	"2009"	"2009"	"1-4 years"	"1-4"	18	355439	Unreliable	1.2
	"Arizona"	"04"	"2009"	"2009"	"5-14 years"	"5-14"	26	839599	3.1	0.6
	"Arizona"	"04"	"2009"	"2009"	"15-24 years"	"15-24"	129	850512	15.2	1.3
	"Arizona"	"04"	"2009"	"2009"	"25-34 years"	"25-34"	117	822783	14.2	1.3
	"Arizona"	"04"	"2009"	"2009"	"35-44 years"	"35-44"	100	786997	12.7	1.3
	"Arizona"	"04"	"2009"	"2009"	"45-54 years"	"45-54"	110	789707	13.9	1.3
	"Arizona"	"04"	"2009"	"2009"	"55-64 years"	"55-64"	100	662702	15.1	1.5
	"Arizona"	"04"	"2009"	"2009"	"65-74 years"	"65-74"	63	451588	14.0	1.8
	"Arizona"	"04"	"2009"	"2009"	"75-84 years"	"75-84"	43	261432	16.4	2.5
	"Arizona"	"04"	"2009"	"2009"	"85+ years"	"85+"	26	95287	27.3	5.4
	"Arizona"	"04"	"2010"	"2010"	"1-4 years"	"1-4"	18	346922	Unreliable	1.2
	"Arizona"	"04"	"2010"	"2010"	"5-14 years"	"5-14"	17	848904	Unreliable	0.5
	"Arizona"	"04"	"2010"	"2010"	"15-24 years"	"15-24"	110	855072	12.9	1.2
	"Arizona"	"04"	"2010"	"2010"	"25-34 years"	"25-34"	111	819677	13.5	1.3
	"Arizona"	"04"	"2010"	"2010"	"35-44 years"	"35-44"	100	784451	12.7	1.3
	"Arizona"	"04"	"2010"	"2010"	"45-54 years"	"45-54"	113	796548	14.2	1.3
	"Arizona"	"04"	"2010"	"2010"	"55-64 years"	"55-64"	120	683164	17.6	1.6
	"Arizona"	"04"	"2010"	"2010"	"65-74 years"	"65-74"	56	465783	12.0	1.6
	"Arizona"	"04"	"2010"	"2010"	"75-84 years"	"75-84"	57	264293	21.6	2.9
	"Arizona"	"04"	"2010"	"2010"	"85+ years"	"85+"	30	98612	30.4	5.6
	"Arizona"	"04"	"2011"	"2011"	"1-4 years"	"1-4"	11	341863	Unreliable	1.0
	"Arizona"	"04"	"2011"	"2011"	"5-14 years"	"5-14"	20	851845	2.3	0.5
	"Arizona"	"04"	"2011"	"2011"	"15-24 years"	"15-24"	126	864786	14.6	1.3
	"Arizona"	"04"	"2011"	"2011"	"25-34 years"	"25-34"	126	833298	15.1	1.3
	"Arizona"	"04"	"2011"	"2011"	"35-44 years"	"35-44"	103	784542	13.1	1.3
	"Arizona"	"04"	"2011"	"2011"	"45-54 years"	"45-54"	118	797725	14.8	1.4
	"Arizona"	"04"	"2011"	"2011"	"55-64 years"	"55-64"	114	712364	16.0	1.5
	"Arizona"	"04"	"2011"	"2011"	"65-74 years"	"65-74"	74	488770	15.1	1.8
	"Arizona"	"04"	"2011"	"2011"	"75-84 years"	"75-84"	52	273212	19.0	2.6
	"Arizona"	"04"	"2011"	"2011"	"85+ years"	"85+"	26	105261	24.7	4.8
	"Arizona"	"04"	"2012"	"2012"	"5-14 years"	"5-14"	19	858722	Unreliable	0.5
	"Arizona"	"04"	"2012"	"2012"	"15-24 years"	"15-24"	153	873162	17.5	1.4
	"Arizona"	"04"	"2012"	"2012"	"25-34 years"	"25-34"	118	840074	14.0	1.3
	"Arizona"	"04"	"2012"	"2012"	"35-44 years"	"35-44"	91	789387	11.5	1.2
	"Arizona"	"04"	"2012"	"2012"	"45-54 years"	"45-54"	106	795550	13.3	1.3
	"Arizona"	"04"	"2012"	"2012"	"55-64 years"	"55-64"	116	720903	16.1	1.5
	"Arizona"	"04"	"2012"	"2012"	"65-74 years"	"65-74"	57	524172	10.9	1.4
	"Arizona"	"04"	"2012"	"2012"	"75-84 years"	"75-84"	44	281010	15.7	2.4
	"Arizona"	"04"	"2012"	"2012"	"85+ years"	"85+"	26	109068	23.8	4.7
	"Arizona"	"04"	"2013"	"2013"	"1-4 years"	"1-4"	13	327058	Unreliable	1.1
	"Arizona"	"04"	"2013"	"2013"	"5-14 years"	"5-14"	32	863408	3.7	0.7
	"Arizona"	"04"	"2013"	"2013"	"15-24 years"	"15-24"	116	887286	13.1	1.2
	"Arizona"	"04"	"2013"	"2013"	"25-34 years"	"25-34"	123	843243	14.6	1.3
	"Arizona"	"04"	"2013"	"2013"	"35-44 years"	"35-44"	90	793441	11.3	1.2
	"Arizona"	"04"	"2013"	"2013"	"45-54 years"	"45-54"	132	793780	16.6	1.4
	"Arizona"	"04"	"2013"	"2013"	"55-64 years"	"55-64"	130	732762	17.7	1.6
	"Arizona"	"04"	"2013"	"2013"	"65-74 years"	"65-74"	78	554875	14.1	1.6
	"Arizona"	"04"	"2013"	"2013"	"75-84 years"	"75-84"	42	291131	14.4	2.2
	"Arizona"	"04"	"2013"	"2013"	"85+ years"	"85+"	29	113627	25.5	4.7
	"Arizona"	"04"	"2014"	"2014"	"1-4 years"	"1-4"	12	325475	Unreliable	1.1
	"Arizona"	"04"	"2014"	"2014"	"5-14 years"	"5-14"	21	866595	2.4	0.5
	"Arizona"	"04"	"2014"	"2014"	"15-24 years"	"15-24"	128	895896	14.3	1.3
	"Arizona"	"04"	"2014"	"2014"	"25-34 years"	"25-34"	118	858459	13.7	1.3
	"Arizona"	"04"	"2014"	"2014"	"35-44 years"	"35-44"	92	800334	11.5	1.2
	"Arizona"	"04"	"2014"	"2014"	"45-54 years"	"45-54"	117	797767	14.7	1.4
	"Arizona"	"04"	"2014"	"2014"	"55-64 years"	"55-64"	113	749622	15.1	1.4
	"Arizona"	"04"	"2014"	"2014"	"65-74 years"	"65-74"	79	586061	13.5	1.5
	"Arizona"	"04"	"2014"	"2014"	"75-84 years"	"75-84"	49	303888	16.1	2.3
	"Arizona"	"04"	"2014"	"2014"	"85+ years"	"85+"	24	118981	20.2	4.1
	"Arizona"	"04"	"2015"	"2015"	"1-4 years"	"1-4"	12	323655	Unreliable	1.1
	"Arizona"	"04"	"2015"	"2015"	"5-14 years"	"5-14"	12	866415	Unreliable	0.4
	"Arizona"	"04"	"2015"	"2015"	"15-24 years"	"15-24"	126	901280	14.0	1.2
	"Arizona"	"04"	"2015"	"2015"	"25-34 years"	"25-34"	142	873971	16.2	1.4
	"Arizona"	"04"	"2015"	"2015"	"35-44 years"	"35-44"	125	805520	15.5	1.4
	"Arizona"	"04"	"2015"	"2015"	"45-54 years"	"45-54"	125	803116	15.6	1.4
	"Arizona"	"04"	"2015"	"2015"	"55-64 years"	"55-64"	114	769172	14.8	1.4
	"Arizona"	"04"	"2015"	"2015"	"65-74 years"	"65-74"	78	615572	12.7	1.4
	"Arizona"	"04"	"2015"	"2015"	"75-84 years"	"75-84"	60	316440	19.0	2.4
	"Arizona"	"04"	"2015"	"2015"	"85+ years"	"85+"	26	124559	20.9	4.1
