"","GEOID","NAME","Minutes_Total_E","Minutes_Total_M","Minutes_Less_than_5_E","Minutes_Less_than_5_M","Minutes_5_to_9_E","Minutes_5_to_9_M","Minutes_10_to_14_E","Minutes_10_to_14_M","Minutes_15_to_19_E","Minutes_15_to_19_M","Minutes_20_to_24_E","Minutes_20_to_24_M","Minutes_25_to_29_E","Minutes_25_to_29_M","Minutes_30_to_34_E","Minutes_30_to_34_M","Minutes_35_to_39_E","Minutes_35_to_39_M","Minutes_40_to_44_E","Minutes_40_to_44_M","Minutes_45_to_59_E","Minutes_45_to_59_M","Minutes_60_to_89_E","Minutes_60_to_89_M","Minutes_90_or_more_E","Minutes_90_or_more_M","year"
"1","01003","Baldwin County, Alabama",80838,4298,862,441,7016,1919,10583,2196,11937,2432,7745,1512,6807,1708,14940,2571,2090,926,4471,1309,7457,1489,5626,2220,1304,553,2016
"2","01015","Calhoun County, Alabama",44684,2614,1241,659,4091,1049,7151,1715,7041,1611,7673,1221,2871,753,6568,1424,1465,783,837,524,2456,679,1754,661,1536,706,2016
"3","01043","Cullman County, Alabama",31438,2266,963,516,4307,1258,5229,1189,4997,1274,3342,1089,1430,551,2344,978,530,313,865,654,3023,913,3140,737,1268,853,2016
"4","01049","DeKalb County, Alabama",28908,1780,1624,878,3421,1419,2843,868,3967,1153,5322,1533,2287,871,4841,1581,897,561,1239,821,1078,563,1017,630,372,316,2016
"5","01051","Elmore County, Alabama",32931,2419,718,391,2584,803,2937,980,5537,1564,4387,1160,4209,1470,5342,1372,1048,710,1106,458,3781,1237,801,508,481,304,2016
"6","01055","Etowah County, Alabama",38604,2284,524,311,4059,1386,7252,1693,7452,1526,5081,1146,2095,641,3526,1034,521,342,838,450,2859,849,2712,941,1685,824,2016
"7","01069","Houston County, Alabama",41999,1348,915,237,5267,789,7281,696,8509,993,8406,804,1703,565,5639,739,634,197,685,218,1814,482,740,213,406,194,2016
"8","01073","Jefferson County, Alabama",293030,5704,3883,1365,23847,2748,39919,3328,53458,3782,50299,3577,28017,2773,47495,3392,9171,1551,8496,1462,18526,2665,6045,1570,3874,1007,2016
"9","01077","Lauderdale County, Alabama",38068,2167,1096,483,3592,914,5751,1169,5892,1195,5979,1057,2158,827,4548,1281,959,723,1490,649,2839,752,2604,944,1160,758,2016
"10","01081","Lee County, Alabama",69690,3179,863,509,7185,1517,13331,2449,12081,1951,9008,2016,4017,1357,10498,1982,1664,858,1524,579,5970,1345,2302,931,1247,680,2016
"11","01083","Limestone County, Alabama",36941,2582,715,624,3000,966,5837,1456,4987,1148,4447,1029,1788,676,7446,1643,1788,766,1400,702,3819,1074,1386,634,328,242,2016
"12","01089","Madison County, Alabama",169241,3881,3281,1461,13704,1773,24981,2636,34439,3421,32337,2763,16269,2051,26973,3332,4798,1267,3027,789,6570,1319,790,387,2072,883,2016
"13","01095","Marshall County, Alabama",36700,2088,1990,930,6980,1546,6692,1642,5613,1382,3389,1223,1321,583,2604,884,491,279,848,328,3328,873,2551,943,893,458,2016
"14","01097","Mobile County, Alabama",165398,4751,3907,1276,10549,2008,21180,2467,29804,2826,29527,3168,11485,1537,31719,2985,3434,1293,3852,916,12503,2063,4843,1098,2595,740,2016
"15","01101","Montgomery County, Alabama",97587,3721,2453,800,9461,1793,16900,2102,23750,2529,16885,2202,5688,1155,11915,2309,1963,628,1292,440,2959,914,2380,1094,1941,918,2016
"16","01103","Morgan County, Alabama",47376,3086,2312,762,5038,1138,9064,1717,6745,1393,5870,1348,1434,458,6333,1409,2074,729,1896,751,4160,1359,1489,788,961,474,2016
"17","01115","St. Clair County, Alabama",37011,1855,1664,895,3307,1242,1415,453,3814,1079,4941,1239,2473,817,6183,1317,2024,968,2730,948,5892,1284,1896,726,672,466,2016
"18","01117","Shelby County, Alabama",98983,3198,1551,644,8423,1930,8671,1565,12116,2097,13289,1814,8028,1355,16507,2245,5553,1424,6230,1273,10087,1569,7533,1569,995,457,2016
"19","01121","Talladega County, Alabama",29907,2475,1470,710,4065,1231,4730,1502,4061,1059,4065,1125,343,302,4381,1177,1109,686,803,400,3178,1171,1096,590,606,362,2016
"20","01125","Tuscaloosa County, Alabama",90848,4193,2461,900,7841,1632,15122,2216,16976,2299,17906,2678,7872,1619,9734,1729,1421,477,2786,793,4380,1145,3616,889,733,386,2016
"21","01127","Walker County, Alabama",21519,1977,875,470,1859,669,3363,1191,2526,760,3290,922,1088,507,2820,874,574,324,444,329,2095,633,1994,774,591,344,2016
"22","02020","Anchorage Municipality, Alaska",151310,3458,5577,1427,21934,2416,32112,2747,36174,2652,28758,2612,6372,1347,9655,1506,1526,575,1448,563,3650,1091,2429,738,1675,817,2016
"23","02090","Fairbanks North Star Borough, Alaska",51370,2972,3148,997,7420,1899,9960,2260,11925,2257,7685,2226,3539,1219,4733,1561,291,195,779,604,809,439,649,374,432,329,2016
"24","02170","Matanuska-Susitna Borough, Alaska",39981,1720,1314,388,4843,1233,5703,934,6685,1126,4345,829,744,301,2819,597,648,326,895,319,4249,943,5828,878,1908,642,2016
"25","04001","Apache County, Arizona",17891,1210,685,263,3081,610,3030,836,1562,583,1189,444,527,338,3442,649,110,78,439,284,1220,335,1462,442,1144,520,2016
"26","04003","Cochise County, Arizona",43313,2934,2319,923,7921,1372,7267,1397,6821,1366,7911,1436,1560,630,3158,865,1132,576,782,493,2128,819,1613,829,701,388,2016
"27","04005","Coconino County, Arizona",58864,2384,3499,1234,13614,1998,11863,1651,12648,1807,6205,1290,1172,480,4275,957,558,328,1258,562,1968,672,1197,401,607,270,2016
"28","04013","Maricopa County, Arizona",1832371,13983,39227,3588,147073,7317,217768,8626,278007,8061,299645,10171,140655,6351,286148,9265,60986,4398,79944,5329,152083,6027,98619,6676,32216,3658,2016
"29","04015","Mohave County, Arizona",65852,3096,3400,1081,11187,2075,15825,2401,11598,2208,5832,1526,2624,1006,4964,1385,1135,575,1489,984,3527,951,2159,769,2112,859,2016
"30","04017","Navajo County, Arizona",30638,1969,4431,1245,7016,1312,5470,1201,4188,969,2026,639,709,339,2347,559,454,294,348,170,1403,731,1224,465,1022,407,2016
"31","04019","Pima County, Arizona",407052,5969,7893,1356,38556,3562,51228,3823,65961,3903,71182,4241,33293,2932,62727,4651,13282,1612,14740,1994,29702,2726,11329,1675,7159,1494,2016
"32","04021","Pinal County, Arizona",136991,4812,5858,1591,12773,2370,16440,2593,14954,2674,15224,2568,5125,1257,16315,2809,5101,1122,6145,1487,19964,2637,15749,2532,3343,899,2016
"33","04025","Yavapai County, Arizona",79088,4872,5071,1548,9663,1671,12812,2314,13032,2423,10786,2034,6519,2167,10011,1963,1463,900,1199,494,3821,1453,2573,855,2138,751,2016
"34","04027","Yuma County, Arizona",76152,2936,2624,926,11377,2133,15727,2500,13772,1894,11096,2102,5254,1497,6909,1638,2425,921,1619,729,1764,814,2454,1389,1131,766,2016
"35","05007","Benton County, Arkansas",118557,3302,3404,808,14133,1841,23866,3048,23219,2403,20969,2240,9377,1913,10538,1491,2680,734,3393,973,4406,1083,1900,834,672,352,2016
