"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Standard Error
	"Alabama"	"01"	"2012"	"2012"	49301	4822023	1022.4	4.6	926.7	4.2
	"Alabama"	"01"	"2013"	"2013"	50189	4833722	1038.3	4.6	925.2	4.2
	"Alabama"	"01"	"2014"	"2014"	50215	4849377	1035.5	4.6	909.1	4.1
	"Alabama"	"01"	"2015"	"2015"	51909	4858979	1068.3	4.7	924.5	4.1
	"Alabama"	"01"	"2016"	"2016"	52466	4863300	1078.8	4.7	920.4	4.1
	"Alaska"	"02"	"2012"	"2012"	3912	731449	534.8	8.6	731.4	12.7
	"Alaska"	"02"	"2013"	"2013"	3997	735132	543.7	8.6	724.4	12.3
	"Alaska"	"02"	"2014"	"2014"	4128	736732	560.3	8.7	736.8	12.3
	"Alaska"	"02"	"2015"	"2015"	4316	738432	584.5	8.9	747.4	12.2
	"Alaska"	"02"	"2016"	"2016"	4494	741894	605.7	9.0	745.6	11.9
	"Arizona"	"04"	"2012"	"2012"	49549	6553255	756.1	3.4	682.9	3.1
	"Arizona"	"04"	"2013"	"2013"	50534	6626624	762.6	3.4	674.2	3.0
	"Arizona"	"04"	"2014"	"2014"	51538	6731484	765.6	3.4	661.7	3.0
	"Arizona"	"04"	"2015"	"2015"	54299	6828065	795.2	3.4	671.8	2.9
	"Arizona"	"04"	"2016"	"2016"	56645	6931071	817.3	3.4	675.8	2.9
	"Arkansas"	"05"	"2012"	"2012"	30117	2949131	1021.2	5.9	897.5	5.2
	"Arkansas"	"05"	"2013"	"2013"	30437	2959373	1028.5	5.9	893.8	5.2
	"Arkansas"	"05"	"2014"	"2014"	30467	2966369	1027.1	5.9	883.7	5.1
	"Arkansas"	"05"	"2015"	"2015"	31617	2978204	1061.6	6.0	901.8	5.1
	"Arkansas"	"05"	"2016"	"2016"	31756	2988248	1062.7	6.0	893.2	5.1
	"California"	"06"	"2012"	"2012"	242554	38041430	637.6	1.3	630.4	1.3
	"California"	"06"	"2013"	"2013"	248359	38332521	647.9	1.3	630.1	1.3
	"California"	"06"	"2014"	"2014"	245929	38802500	633.8	1.3	605.7	1.2
	"California"	"06"	"2015"	"2015"	259206	39144818	662.2	1.3	621.6	1.2
	"California"	"06"	"2016"	"2016"	262240	39250017	668.1	1.3	616.9	1.2
	"Colorado"	"08"	"2012"	"2012"	33133	5187582	638.7	3.5	665.6	3.7
	"Colorado"	"08"	"2013"	"2013"	33712	5268367	639.9	3.5	655.4	3.6
