"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Autauga County, AL"	"01001"	"2010"	"2010"	36	54571	66.0	46.2	91.3	11.0
	"Autauga County, AL"	"01001"	"2011"	"2011"	57	55267	103.1	78.1	133.6	13.7
	"Autauga County, AL"	"01001"	"2012"	"2012"	39	55514	70.3	50.0	96.0	11.2
	"Autauga County, AL"	"01001"	"2013"	"2013"	47	55246	85.1	62.5	113.1	12.4
	"Autauga County, AL"	"01001"	"2014"	"2014"	36	55395	65.0	45.5	90.0	10.8
	"Autauga County, AL"	"01001"	"2015"	"2015"	36	55347	65.0	45.6	90.0	10.8
	"Autauga County, AL"	"01001"	"2016"	"2016"	47	55416	84.8	62.3	112.8	12.4
	"Baldwin County, AL"	"01003"	"2010"	"2010"	124	182265	68.0	56.1	80.0	6.1
	"Baldwin County, AL"	"01003"	"2011"	"2011"	133	186717	71.2	59.1	83.3	6.2
	"Baldwin County, AL"	"01003"	"2012"	"2012"	141	190790	73.9	61.7	86.1	6.2
	"Baldwin County, AL"	"01003"	"2013"	"2013"	126	195540	64.4	53.2	75.7	5.7
	"Baldwin County, AL"	"01003"	"2014"	"2014"	148	200111	74.0	62.0	85.9	6.1
	"Baldwin County, AL"	"01003"	"2015"	"2015"	161	203709	79.0	66.8	91.2	6.2
	"Baldwin County, AL"	"01003"	"2016"	"2016"	150	208563	71.9	60.4	83.4	5.9
	"Barbour County, AL"	"01005"	"2010"	"2010"	18	27457	Unreliable	38.9	103.6	15.5
	"Barbour County, AL"	"01005"	"2011"	"2011"	19	27119	Unreliable	42.2	109.4	16.1
	"Barbour County, AL"	"01005"	"2012"	"2012"	14	27201	Unreliable	28.1	86.4	13.8
	"Barbour County, AL"	"01005"	"2013"	"2013"	18	27076	Unreliable	39.4	105.1	15.7
