"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Autauga County, AL"	"01001"	"2010"	"2010"	14	54571	Unreliable	14.0	43.0	6.9
	"Autauga County, AL"	"01001"	"2011"	"2011"	17	55267	Unreliable	17.9	49.2	7.5
	"Autauga County, AL"	"01001"	"2012"	"2012"	17	55514	Unreliable	17.8	49.0	7.4
	"Autauga County, AL"	"01001"	"2013"	"2013"	25	55246	45.3	29.3	66.8	9.1
	"Autauga County, AL"	"01001"	"2015"	"2015"	14	55347	Unreliable	13.8	42.4	6.8
	"Autauga County, AL"	"01001"	"2016"	"2016"	16	55416	Unreliable	16.5	46.9	7.2
	"Baldwin County, AL"	"01003"	"2010"	"2010"	35	182265	19.2	13.4	26.7	3.2
	"Baldwin County, AL"	"01003"	"2011"	"2011"	48	186717	25.7	19.0	34.1	3.7
	"Baldwin County, AL"	"01003"	"2012"	"2012"	46	190790	24.1	17.7	32.2	3.6
	"Baldwin County, AL"	"01003"	"2013"	"2013"	43	195540	22.0	15.9	29.6	3.4
	"Baldwin County, AL"	"01003"	"2014"	"2014"	38	200111	19.0	13.4	26.1	3.1
	"Baldwin County, AL"	"01003"	"2015"	"2015"	35	203709	17.2	12.0	23.9	2.9
	"Baldwin County, AL"	"01003"	"2016"	"2016"	35	208563	16.8	11.7	23.3	2.8
	"Barbour County, AL"	"01005"	"2012"	"2012"	11	27201	Unreliable	20.2	72.4	12.2
	"Barbour County, AL"	"01005"	"2014"	"2014"	10	26887	Unreliable	17.8	68.4	11.8
	"Bibb County, AL"	"01007"	"2013"	"2013"	13	22512	Unreliable	30.7	98.7	16.0
	"Bibb County, AL"	"01007"	"2014"	"2014"	11	22506	Unreliable	24.4	87.5	14.7
	"Blount County, AL"	"01009"	"2010"	"2010"	17	57322	Unreliable	17.3	47.5	7.2
	"Blount County, AL"	"01009"	"2011"	"2011"	19	57677	Unreliable	19.8	51.4	7.6
	"Blount County, AL"	"01009"	"2012"	"2012"	13	57826	Unreliable	12.0	38.4	6.2
	"Blount County, AL"	"01009"	"2013"	"2013"	20	57872	34.6	21.1	53.4	7.7
	"Blount County, AL"	"01009"	"2014"	"2014"	29	57719	50.2	33.6	72.2	9.3
	"Blount County, AL"	"01009"	"2015"	"2015"	12	57673	Unreliable	10.8	36.3	6.0
	"Blount County, AL"	"01009"	"2016"	"2016"	15	57704	Unreliable	14.5	42.9	6.7
	"Calhoun County, AL"	"01015"	"2010"	"2010"	59	118572	49.8	37.9	64.2	6.5
	"Calhoun County, AL"	"01015"	"2011"	"2011"	49	117797	41.6	30.8	55.0	5.9
	"Calhoun County, AL"	"01015"	"2012"	"2012"	59	117296	50.3	38.3	64.9	6.5
	"Calhoun County, AL"	"01015"	"2013"	"2013"	54	116736	46.3	34.8	60.4	6.3
	"Calhoun County, AL"	"01015"	"2014"	"2014"	51	115916	44.0	32.8	57.8	6.2
	"Calhoun County, AL"	"01015"	"2015"	"2015"	40	115620	34.6	24.7	47.1	5.5
	"Calhoun County, AL"	"01015"	"2016"	"2016"	39	114611	34.0	24.2	46.5	5.4
	"Chambers County, AL"	"01017"	"2010"	"2010"	21	34215	61.4	38.0	93.8	13.4
	"Chambers County, AL"	"01017"	"2011"	"2011"	15	33939	Unreliable	24.7	72.9	11.4
	"Chambers County, AL"	"01017"	"2013"	"2013"	12	34162	Unreliable	18.2	61.4	10.1
	"Chambers County, AL"	"01017"	"2015"	"2015"	15	34123	Unreliable	24.6	72.5	11.4
	"Chambers County, AL"	"01017"	"2016"	"2016"	18	33843	Unreliable	31.5	84.1	12.5
	"Chilton County, AL"	"01021"	"2011"	"2011"	17	43895	Unreliable	22.6	62.0	9.4
	"Chilton County, AL"	"01021"	"2013"	"2013"	19	43951	Unreliable	26.0	67.5	9.9
	"Chilton County, AL"	"01021"	"2014"	"2014"	14	43931	Unreliable	17.4	53.5	8.5
	"Chilton County, AL"	"01021"	"2015"	"2015"	16	43943	Unreliable	20.8	59.1	9.1
	"Chilton County, AL"	"01021"	"2016"	"2016"	20	43941	45.5	27.8	70.3	10.2
	"Clarke County, AL"	"01025"	"2015"	"2015"	10	24675	Unreliable	19.4	74.5	12.8
	"Cleburne County, AL"	"01029"	"2010"	"2010"	12	14972	Unreliable	41.4	140.0	23.1
	"Coffee County, AL"	"01031"	"2010"	"2010"	12	49948	Unreliable	12.4	42.0	6.9
	"Coffee County, AL"	"01031"	"2011"	"2011"	15	50526	Unreliable	16.6	49.0	7.7
	"Colbert County, AL"	"01033"	"2010"	"2010"	16	54428	Unreliable	16.8	47.7	7.3
	"Colbert County, AL"	"01033"	"2011"	"2011"	14	54512	Unreliable	14.0	43.1	6.9
	"Colbert County, AL"	"01033"	"2012"	"2012"	17	54446	Unreliable	18.2	50.0	7.6
	"Colbert County, AL"	"01033"	"2013"	"2013"	13	54520	Unreliable	12.7	40.8	6.6
	"Colbert County, AL"	"01033"	"2014"	"2014"	14	54543	Unreliable	14.0	43.1	6.9
	"Colbert County, AL"	"01033"	"2015"	"2015"	27	54354	49.7	32.7	72.3	9.6
	"Colbert County, AL"	"01033"	"2016"	"2016"	17	54216	Unreliable	18.3	50.2	7.6
	"Covington County, AL"	"01039"	"2010"	"2010"	17	37765	Unreliable	26.2	72.1	10.9
	"Covington County, AL"	"01039"	"2011"	"2011"	14	38058	Unreliable	20.1	61.7	9.8
	"Covington County, AL"	"01039"	"2012"	"2012"	17	37955	Unreliable	26.1	71.7	10.9
	"Covington County, AL"	"01039"	"2013"	"2013"	27	37886	71.3	47.0	103.7	13.7
	"Covington County, AL"	"01039"	"2014"	"2014"	23	37914	60.7	38.5	91.0	12.6
	"Covington County, AL"	"01039"	"2015"	"2015"	19	37835	Unreliable	30.2	78.4	11.5
	"Covington County, AL"	"01039"	"2016"	"2016"	21	37458	56.1	34.7	85.7	12.2
	"Cullman County, AL"	"01043"	"2010"	"2010"	15	80406	Unreliable	10.4	30.8	4.8
	"Cullman County, AL"	"01043"	"2011"	"2011"	19	80536	Unreliable	14.2	36.8	5.4
	"Cullman County, AL"	"01043"	"2012"	"2012"	24	80440	29.8	19.1	44.4	6.1
	"Cullman County, AL"	"01043"	"2013"	"2013"	19	80811	Unreliable	14.2	36.7	5.4
	"Cullman County, AL"	"01043"	"2014"	"2014"	21	81289	25.8	16.0	39.5	5.6
	"Cullman County, AL"	"01043"	"2015"	"2015"	19	82005	Unreliable	13.9	36.2	5.3
	"Cullman County, AL"	"01043"	"2016"	"2016"	22	82471	26.7	16.7	40.4	5.7
	"Dale County, AL"	"01045"	"2010"	"2010"	12	50251	Unreliable	12.3	41.7	6.9
	"Dale County, AL"	"01045"	"2011"	"2011"	12	50044	Unreliable	12.4	41.9	6.9
	"Dale County, AL"	"01045"	"2012"	"2012"	12	50444	Unreliable	12.3	41.6	6.9
	"Dale County, AL"	"01045"	"2013"	"2013"	16	49884	Unreliable	18.3	52.1	8.0
	"Dale County, AL"	"01045"	"2014"	"2014"	11	49484	Unreliable	11.1	39.8	6.7
	"Dale County, AL"	"01045"	"2015"	"2015"	13	49565	Unreliable	14.0	44.9	7.3
	"Dallas County, AL"	"01047"	"2010"	"2010"	20	43820	45.6	27.9	70.5	10.2
	"Dallas County, AL"	"01047"	"2011"	"2011"	23	43332	53.1	33.6	79.6	11.1
	"Dallas County, AL"	"01047"	"2012"	"2012"	28	42864	65.3	43.4	94.4	12.3
	"Dallas County, AL"	"01047"	"2013"	"2013"	32	41996	76.2	52.1	107.6	13.5
	"Dallas County, AL"	"01047"	"2014"	"2014"	26	41711	62.3	40.7	91.3	12.2
	"Dallas County, AL"	"01047"	"2015"	"2015"	20	41131	48.6	29.7	75.1	10.9
	"Dallas County, AL"	"01047"	"2016"	"2016"	23	40008	57.5	36.4	86.3	12.0
	"DeKalb County, AL"	"01049"	"2010"	"2010"	20	71109	28.1	17.2	43.4	6.3
	"DeKalb County, AL"	"01049"	"2011"	"2011"	15	71375	Unreliable	11.8	34.7	5.4
	"DeKalb County, AL"	"01049"	"2012"	"2012"	11	71080	Unreliable	7.7	27.7	4.7
	"DeKalb County, AL"	"01049"	"2013"	"2013"	17	71013	Unreliable	13.9	38.3	5.8
	"DeKalb County, AL"	"01049"	"2014"	"2014"	14	71065	Unreliable	10.8	33.1	5.3
	"DeKalb County, AL"	"01049"	"2015"	"2015"	24	71130	33.7	21.6	50.2	6.9
	"DeKalb County, AL"	"01049"	"2016"	"2016"	19	70900	Unreliable	16.1	41.8	6.1
	"Elmore County, AL"	"01051"	"2010"	"2010"	12	79303	Unreliable	7.8	26.4	4.4
	"Elmore County, AL"	"01051"	"2011"	"2011"	17	80162	Unreliable	12.4	34.0	5.1
	"Elmore County, AL"	"01051"	"2012"	"2012"	20	80629	24.8	15.2	38.3	5.5
