"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Autauga County, AL"	"01001"	"2010"	"2010"	24	54571	44.0	28.2	65.4	9.0
	"Autauga County, AL"	"01001"	"2011"	"2011"	20	55267	36.2	22.1	55.9	8.1
	"Autauga County, AL"	"01001"	"2012"	"2012"	18	55514	Unreliable	19.2	51.2	7.6
	"Autauga County, AL"	"01001"	"2013"	"2013"	17	55246	Unreliable	17.9	49.3	7.5
	"Autauga County, AL"	"01001"	"2014"	"2014"	17	55395	Unreliable	17.9	49.1	7.4
	"Autauga County, AL"	"01001"	"2015"	"2015"	13	55347	Unreliable	12.5	40.2	6.5
	"Autauga County, AL"	"01001"	"2016"	"2016"	14	55416	Unreliable	13.8	42.4	6.8
	"Baldwin County, AL"	"01003"	"2010"	"2010"	93	182265	51.0	41.2	62.5	5.3
	"Baldwin County, AL"	"01003"	"2011"	"2011"	105	186717	56.2	45.5	67.0	5.5
	"Baldwin County, AL"	"01003"	"2012"	"2012"	120	190790	62.9	51.6	74.1	5.7
	"Baldwin County, AL"	"01003"	"2013"	"2013"	134	195540	68.5	56.9	80.1	5.9
	"Baldwin County, AL"	"01003"	"2014"	"2014"	97	200111	48.5	39.3	59.1	4.9
	"Baldwin County, AL"	"01003"	"2015"	"2015"	117	203709	57.4	47.0	67.8	5.3
	"Baldwin County, AL"	"01003"	"2016"	"2016"	111	208563	53.2	43.3	63.1	5.1
	"Barbour County, AL"	"01005"	"2011"	"2011"	11	27119	Unreliable	20.2	72.6	12.2
	"Barbour County, AL"	"01005"	"2012"	"2012"	14	27201	Unreliable	28.1	86.4	13.8
	"Barbour County, AL"	"01005"	"2013"	"2013"	16	27076	Unreliable	33.8	96.0	14.8
	"Barbour County, AL"	"01005"	"2014"	"2014"	11	26887	Unreliable	20.4	73.2	12.3
	"Barbour County, AL"	"01005"	"2015"	"2015"	10	26489	Unreliable	18.1	69.4	11.9
	"Barbour County, AL"	"01005"	"2016"	"2016"	10	25965	Unreliable	18.5	70.8	12.2
	"Bibb County, AL"	"01007"	"2011"	"2011"	10	22766	Unreliable	21.1	80.8	13.9
	"Bibb County, AL"	"01007"	"2013"	"2013"	13	22512	Unreliable	30.7	98.7	16.0
	"Bibb County, AL"	"01007"	"2014"	"2014"	10	22506	Unreliable	21.3	81.7	14.1
	"Blount County, AL"	"01009"	"2010"	"2010"	16	57322	Unreliable	16.0	45.3	7.0
	"Blount County, AL"	"01009"	"2011"	"2011"	24	57677	41.6	26.7	61.9	8.5
	"Blount County, AL"	"01009"	"2012"	"2012"	33	57826	57.1	39.3	80.1	9.9
	"Blount County, AL"	"01009"	"2013"	"2013"	34	57872	58.8	40.7	82.1	10.1
	"Blount County, AL"	"01009"	"2014"	"2014"	24	57719	41.6	26.6	61.9	8.5
	"Blount County, AL"	"01009"	"2015"	"2015"	17	57673	Unreliable	17.2	47.2	7.1
	"Blount County, AL"	"01009"	"2016"	"2016"	25	57704	43.3	28.0	64.0	8.7
	"Butler County, AL"	"01013"	"2010"	"2010"	16	20947	Unreliable	43.7	124.0	19.1
	"Butler County, AL"	"01013"	"2011"	"2011"	12	20650	Unreliable	30.0	101.5	16.8
	"Butler County, AL"	"01013"	"2012"	"2012"	12	20307	Unreliable	30.5	103.2	17.1
	"Butler County, AL"	"01013"	"2013"	"2013"	12	20265	Unreliable	30.6	103.4	17.1
	"Butler County, AL"	"01013"	"2014"	"2014"	11	20296	Unreliable	27.1	97.0	16.3
	"Calhoun County, AL"	"01015"	"2010"	"2010"	48	118572	40.5	29.8	53.7	5.8
	"Calhoun County, AL"	"01015"	"2011"	"2011"	59	117797	50.1	38.1	64.6	6.5
	"Calhoun County, AL"	"01015"	"2012"	"2012"	83	117296	70.8	56.4	87.7	7.8
	"Calhoun County, AL"	"01015"	"2013"	"2013"	77	116736	66.0	52.1	82.4	7.5
	"Calhoun County, AL"	"01015"	"2014"	"2014"	58	115916	50.0	38.0	64.7	6.6
	"Calhoun County, AL"	"01015"	"2015"	"2015"	71	115620	61.4	48.0	77.5	7.3
	"Calhoun County, AL"	"01015"	"2016"	"2016"	37	114611	32.3	22.7	44.5	5.3
	"Chambers County, AL"	"01017"	"2010"	"2010"	21	34215	61.4	38.0	93.8	13.4
	"Chambers County, AL"	"01017"	"2011"	"2011"	20	33939	58.9	36.0	91.0	13.2
	"Chambers County, AL"	"01017"	"2012"	"2012"	21	34064	61.6	38.2	94.2	13.5
	"Chambers County, AL"	"01017"	"2013"	"2013"	25	34162	73.2	47.4	108.0	14.6
	"Chambers County, AL"	"01017"	"2014"	"2014"	17	34076	Unreliable	29.1	79.9	12.1
	"Chambers County, AL"	"01017"	"2015"	"2015"	17	34123	Unreliable	29.0	79.8	12.1
	"Chambers County, AL"	"01017"	"2016"	"2016"	14	33843	Unreliable	22.6	69.4	11.1
	"Cherokee County, AL"	"01019"	"2010"	"2010"	12	25989	Unreliable	23.9	80.7	13.3
	"Cherokee County, AL"	"01019"	"2011"	"2011"	10	26057	Unreliable	18.4	70.6	12.1
	"Cherokee County, AL"	"01019"	"2012"	"2012"	21	26021	80.7	50.0	123.4	17.6
	"Cherokee County, AL"	"01019"	"2013"	"2013"	15	26203	Unreliable	32.0	94.4	14.8
	"Cherokee County, AL"	"01019"	"2014"	"2014"	16	26037	Unreliable	35.1	99.8	15.4
	"Cherokee County, AL"	"01019"	"2016"	"2016"	17	25725	Unreliable	38.5	105.8	16.0
	"Chilton County, AL"	"01021"	"2010"	"2010"	24	43643	55.0	35.2	81.8	11.2
	"Chilton County, AL"	"01021"	"2011"	"2011"	24	43895	54.7	35.0	81.4	11.2
	"Chilton County, AL"	"01021"	"2012"	"2012"	18	43819	Unreliable	24.3	64.9	9.7
	"Chilton County, AL"	"01021"	"2013"	"2013"	23	43951	52.3	33.2	78.5	10.9
	"Chilton County, AL"	"01021"	"2014"	"2014"	18	43931	Unreliable	24.3	64.8	9.7
	"Chilton County, AL"	"01021"	"2016"	"2016"	11	43941	Unreliable	12.5	44.8	7.5
	"Clarke County, AL"	"01025"	"2013"	"2013"	13	25207	Unreliable	27.5	88.2	14.3
	"Clay County, AL"	"01027"	"2014"	"2014"	12	13552	Unreliable	45.8	154.7	25.6
	"Clay County, AL"	"01027"	"2016"	"2016"	15	13492	Unreliable	62.2	183.4	28.7
	"Coffee County, AL"	"01031"	"2010"	"2010"	23	49948	46.0	29.2	69.1	9.6
	"Coffee County, AL"	"01031"	"2011"	"2011"	20	50526	39.6	24.2	61.1	8.9
	"Coffee County, AL"	"01031"	"2012"	"2012"	22	51252	42.9	26.9	65.0	9.2
	"Coffee County, AL"	"01031"	"2013"	"2013"	27	50938	53.0	34.9	77.1	10.2
	"Coffee County, AL"	"01031"	"2014"	"2014"	20	50909	39.3	24.0	60.7	8.8
	"Coffee County, AL"	"01031"	"2015"	"2015"	19	51211	Unreliable	22.3	57.9	8.5
	"Coffee County, AL"	"01031"	"2016"	"2016"	20	51226	39.0	23.8	60.3	8.7
	"Colbert County, AL"	"01033"	"2010"	"2010"	45	54428	82.7	60.3	110.6	12.3
	"Colbert County, AL"	"01033"	"2011"	"2011"	45	54512	82.6	60.2	110.5	12.3
	"Colbert County, AL"	"01033"	"2012"	"2012"	42	54446	77.1	55.6	104.3	11.9
	"Colbert County, AL"	"01033"	"2013"	"2013"	46	54520	84.4	61.8	112.5	12.4
	"Colbert County, AL"	"01033"	"2014"	"2014"	37	54543	67.8	47.8	93.5	11.2
	"Colbert County, AL"	"01033"	"2015"	"2015"	39	54354	71.8	51.0	98.1	11.5
	"Colbert County, AL"	"01033"	"2016"	"2016"	40	54216	73.8	52.7	100.5	11.7
	"Coosa County, AL"	"01037"	"2010"	"2010"	12	11539	Unreliable	53.7	181.7	30.0
	"Coosa County, AL"	"01037"	"2011"	"2011"	12	10713	Unreliable	57.9	195.7	32.3
	"Coosa County, AL"	"01037"	"2012"	"2012"	14	10966	Unreliable	69.8	214.2	34.1
	"Coosa County, AL"	"01037"	"2013"	"2013"	14	10898	Unreliable	70.2	215.5	34.3
