"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Autauga County, AL"	"01001"	"2010"	"2010"	46	54571	84.3	61.7	112.4	12.4
	"Autauga County, AL"	"01001"	"2011"	"2011"	38	55267	68.8	48.7	94.4	11.2
	"Autauga County, AL"	"01001"	"2012"	"2012"	59	55514	106.3	80.9	137.1	13.8
	"Autauga County, AL"	"01001"	"2013"	"2013"	51	55246	92.3	68.7	121.4	12.9
	"Autauga County, AL"	"01001"	"2014"	"2014"	60	55395	108.3	82.7	139.4	14.0
	"Autauga County, AL"	"01001"	"2015"	"2015"	67	55347	121.1	93.8	153.7	14.8
	"Autauga County, AL"	"01001"	"2016"	"2016"	58	55416	104.7	79.5	135.3	13.7
	"Baldwin County, AL"	"01003"	"2010"	"2010"	178	182265	97.7	83.3	112.0	7.3
	"Baldwin County, AL"	"01003"	"2011"	"2011"	185	186717	99.1	84.8	113.4	7.3
	"Baldwin County, AL"	"01003"	"2012"	"2012"	152	190790	79.7	67.0	92.3	6.5
	"Baldwin County, AL"	"01003"	"2013"	"2013"	173	195540	88.5	75.3	101.7	6.7
	"Baldwin County, AL"	"01003"	"2014"	"2014"	183	200111	91.4	78.2	104.7	6.8
	"Baldwin County, AL"	"01003"	"2015"	"2015"	208	203709	102.1	88.2	116.0	7.1
	"Baldwin County, AL"	"01003"	"2016"	"2016"	185	208563	88.7	75.9	101.5	6.5
	"Barbour County, AL"	"01005"	"2010"	"2010"	16	27457	Unreliable	33.3	94.6	14.6
	"Barbour County, AL"	"01005"	"2011"	"2011"	28	27119	103.2	68.6	149.2	19.5
	"Barbour County, AL"	"01005"	"2012"	"2012"	21	27201	77.2	47.8	118.0	16.8
	"Barbour County, AL"	"01005"	"2013"	"2013"	19	27076	Unreliable	42.2	109.6	16.1
	"Barbour County, AL"	"01005"	"2014"	"2014"	26	26887	96.7	63.2	141.7	19.0
	"Barbour County, AL"	"01005"	"2015"	"2015"	25	26489	94.4	61.1	139.3	18.9
	"Barbour County, AL"	"01005"	"2016"	"2016"	17	25965	Unreliable	38.1	104.8	15.9
	"Bibb County, AL"	"01007"	"2010"	"2010"	23	22915	100.4	63.6	150.6	20.9
	"Bibb County, AL"	"01007"	"2011"	"2011"	26	22766	114.2	74.6	167.3	22.4
	"Bibb County, AL"	"01007"	"2012"	"2012"	33	22597	146.0	100.5	205.1	25.4
	"Bibb County, AL"	"01007"	"2013"	"2013"	32	22512	142.1	97.2	200.7	25.1
	"Bibb County, AL"	"01007"	"2014"	"2014"	24	22506	106.6	68.3	158.7	21.8
	"Bibb County, AL"	"01007"	"2015"	"2015"	33	22583	146.1	100.6	205.2	25.4
	"Bibb County, AL"	"01007"	"2016"	"2016"	27	22643	119.2	78.6	173.5	22.9
	"Blount County, AL"	"01009"	"2010"	"2010"	77	57322	134.3	106.0	167.9	15.3
	"Blount County, AL"	"01009"	"2011"	"2011"	68	57677	117.9	91.6	149.5	14.3
	"Blount County, AL"	"01009"	"2012"	"2012"	92	57826	159.1	128.3	195.1	16.6
	"Blount County, AL"	"01009"	"2013"	"2013"	77	57872	133.1	105.0	166.3	15.2
