Notes,County,County.Code,Year,Year.Code,Deaths,Population,Crude.Rate,Crude.Rate.Lower.95..Confidence.Interval,Crude.Rate.Upper.95..Confidence.Interval,Crude.Rate.Standard.Error
,"Autauga County, AL",1001,2010,2010,433,54571,793.5,718.7,868.2,38.1
,"Autauga County, AL",1001,2011,2011,456,55267,825.1,749.4,900.8,38.6
,"Autauga County, AL",1001,2012,2012,514,55514,925.9,845.8,1005.9,40.8
,"Autauga County, AL",1001,2013,2013,535,55246,968.4,886.3,1050.5,41.9
,"Autauga County, AL",1001,2014,2014,482,55395,870.1,792.4,947.8,39.6
,"Autauga County, AL",1001,2015,2015,523,55347,944.9,864,1025.9,41.3
,"Autauga County, AL",1001,2016,2016,520,55416,938.4,857.7,1019,41.1
,"Baldwin County, AL",1003,2010,2010,1798,182265,986.5,940.9,1032.1,23.3
,"Baldwin County, AL",1003,2011,2011,1852,186717,991.9,946.7,1037,23
,"Baldwin County, AL",1003,2012,2012,1801,190790,944.0,900.4,987.6,22.2
,"Baldwin County, AL",1003,2013,2013,1973,195540,1009.0,964.5,1053.5,22.7
,"Baldwin County, AL",1003,2014,2014,1952,200111,975.5,932.2,1018.7,22.1
,"Baldwin County, AL",1003,2015,2015,2092,203709,1027.0,982.9,1071,22.5
,"Baldwin County, AL",1003,2016,2016,1974,208563,946.5,904.7,988.2,21.3
,"Barbour County, AL",1005,2010,2010,283,27457,1030.7,910.6,1150.8,61.3
,"Barbour County, AL",1005,2011,2011,299,27119,1102.5,977.6,1227.5,63.8
,"Barbour County, AL",1005,2012,2012,272,27201,1000.0,881.1,1118.8,60.6
,"Barbour County, AL",1005,2013,2013,278,27076,1026.7,906,1147.4,61.6
,"Barbour County, AL",1005,2014,2014,298,26887,1108.3,982.5,1234.2,64.2
,"Barbour County, AL",1005,2015,2015,295,26489,1113.7,986.6,1240.8,64.8
,"Barbour County, AL",1005,2016,2016,256,25965,985.9,865.2,1106.7,61.6
,"Bibb County, AL",1007,2010,2010,225,22915,981.9,853.6,1110.2,65.5
,"Bibb County, AL",1007,2011,2011,247,22766,1085.0,949.6,1220.3,69
,"Bibb County, AL",1007,2012,2012,250,22597,1106.3,969.2,1243.5,70
,"Bibb County, AL",1007,2013,2013,242,22512,1075.0,939.5,1210.4,69.1
,"Bibb County, AL",1007,2014,2014,237,22506,1053.1,919,1187.1,68.4
,"Bibb County, AL",1007,2015,2015,238,22583,1053.9,920,1187.8,68.3
,"Bibb County, AL",1007,2016,2016,239,22643,1055.5,921.7,1189.3,68.3
,"Blount County, AL",1009,2010,2010,542,57322,945.5,865.9,1025.1,40.6
,"Blount County, AL",1009,2011,2011,598,57677,1036.8,953.7,1119.9,42.4
,"Blount County, AL",1009,2012,2012,579,57826,1001.3,919.7,1082.8,41.6
,"Blount County, AL",1009,2013,2013,556,57872,960.7,880.9,1040.6,40.7
,"Blount County, AL",1009,2014,2014,624,57719,1081.1,996.3,1165.9,43.3
,"Blount County, AL",1009,2015,2015,613,57673,1062.9,978.7,1147,42.9
,"Blount County, AL",1009,2016,2016,697,57704,1207.9,1118.2,1297.6,45.8
,"Bullock County, AL",1011,2010,2010,132,10914,1209.5,1003.1,1415.8,105.3
,"Bullock County, AL",1011,2011,2011,115,10542,1090.9,891.5,1290.3,101.7
,"Bullock County, AL",1011,2012,2012,101,10474,964.3,776.2,1152.4,96
,"Bullock County, AL",1011,2013,2013,120,10639,1127.9,926.1,1329.7,103
,"Bullock County, AL",1011,2014,2014,119,10764,1105.5,906.9,1304.2,101.3
,"Bullock County, AL",1011,2015,2015,120,10696,1121.9,921.2,1322.7,102.4
,"Bullock County, AL",1011,2016,2016,133,10362,1283.5,1065.4,1501.7,111.3
,"Butler County, AL",1013,2010,2010,272,20947,1298.5,1144.2,1452.8,78.7
,"Butler County, AL",1013,2011,2011,275,20650,1331.7,1174.3,1489.1,80.3
,"Butler County, AL",1013,2012,2012,279,20307,1373.9,1212.7,1535.1,82.3
,"Butler County, AL",1013,2013,2013,247,20265,1218.9,1066.8,1370.9,77.6
,"Butler County, AL",1013,2014,2014,294,20296,1448.6,1283,1614.1,84.5
,"Butler County, AL",1013,2015,2015,255,20154,1265.3,1110,1420.6,79.2
,"Butler County, AL",1013,2016,2016,275,19998,1375.1,1212.6,1537.7,82.9
,"Calhoun County, AL",1015,2010,2010,1383,118572,1166.4,1104.9,1227.9,31.4
,"Calhoun County, AL",1015,2011,2011,1341,117797,1138.4,1077.5,1199.3,31.1
,"Calhoun County, AL",1015,2012,2012,1373,117296,1170.5,1108.6,1232.5,31.6
,"Calhoun County, AL",1015,2013,2013,1403,116736,1201.9,1139,1264.7,32.1
,"Calhoun County, AL",1015,2014,2014,1405,115916,1212.1,1148.7,1275.5,32.3
,"Calhoun County, AL",1015,2015,2015,1484,115620,1283.5,1218.2,1348.8,33.3
,"Calhoun County, AL",1015,2016,2016,1404,114611,1225.0,1160.9,1289.1,32.7
,"Chambers County, AL",1017,2010,2010,446,34215,1303.5,1182.5,1424.5,61.7
,"Chambers County, AL",1017,2011,2011,445,33939,1311.2,1189.4,1433,62.2
,"Chambers County, AL",1017,2012,2012,497,34064,1459.0,1330.7,1587.3,65.4
,"Chambers County, AL",1017,2013,2013,454,34162,1329.0,1206.7,1451.2,62.4
,"Chambers County, AL",1017,2014,2014,425,34076,1247.2,1128.6,1365.8,60.5
,"Chambers County, AL",1017,2015,2015,438,34123,1283.6,1163.4,1403.8,61.3
,"Chambers County, AL",1017,2016,2016,460,33843,1359.2,1235,1483.4,63.4
,"Cherokee County, AL",1019,2010,2010,307,25989,1181.3,1049.1,1313.4,67.4
,"Cherokee County, AL",1019,2011,2011,330,26057,1266.5,1129.8,1403.1,69.7
,"Cherokee County, AL",1019,2012,2012,333,26021,1279.7,1142.3,1417.2,70.1
,"Cherokee County, AL",1019,2013,2013,331,26203,1263.2,1127.1,1399.3,69.4
,"Cherokee County, AL",1019,2014,2014,340,26037,1305.8,1167,1444.6,70.8
,"Cherokee County, AL",1019,2015,2015,345,25859,1334.2,1193.4,1474.9,71.8
