Notes,County,County.Code,Year,Year.Code,Deaths,Population,Crude.Rate,Crude.Rate.Lower.95..Confidence.Interval,Crude.Rate.Upper.95..Confidence.Interval,Crude.Rate.Standard.Error
,"Autauga County, AL",1001,2010,2010,155,54571,284.0,239.3,328.7,22.8
,"Autauga County, AL",1001,2011,2011,160,55267,289.5,244.6,334.4,22.9
,"Autauga County, AL",1001,2012,2012,161,55514,290.0,245.2,334.8,22.9
,"Autauga County, AL",1001,2013,2013,175,55246,316.8,269.8,363.7,23.9
,"Autauga County, AL",1001,2014,2014,153,55395,276.2,232.4,320,22.3
,"Autauga County, AL",1001,2015,2015,151,55347,272.8,229.3,316.3,22.2
,"Autauga County, AL",1001,2016,2016,163,55416,294.1,249,339.3,23
,"Baldwin County, AL",1003,2010,2010,619,182265,339.6,312.9,366.4,13.7
,"Baldwin County, AL",1003,2011,2011,640,186717,342.8,316.2,369.3,13.5
,"Baldwin County, AL",1003,2012,2012,583,190790,305.6,280.8,330.4,12.7
,"Baldwin County, AL",1003,2013,2013,690,195540,352.9,326.5,379.2,13.4
,"Baldwin County, AL",1003,2014,2014,612,200111,305.8,281.6,330.1,12.4
,"Baldwin County, AL",1003,2015,2015,675,203709,331.4,306.4,356.4,12.8
,"Baldwin County, AL",1003,2016,2016,640,208563,306.9,283.1,330.6,12.1
,"Barbour County, AL",1005,2010,2010,116,27457,422.5,345.6,499.4,39.2
,"Barbour County, AL",1005,2011,2011,127,27119,468.3,386.9,549.8,41.6
,"Barbour County, AL",1005,2012,2012,89,27201,327.2,262.8,402.6,34.7
,"Barbour County, AL",1005,2013,2013,114,27076,421.0,343.7,498.3,39.4
,"Barbour County, AL",1005,2014,2014,107,26887,398.0,322.6,473.4,38.5
,"Barbour County, AL",1005,2015,2015,111,26489,419.0,341.1,497,39.8
,"Barbour County, AL",1005,2016,2016,90,25965,346.6,278.7,426.1,36.5
,"Bibb County, AL",1007,2010,2010,81,22915,353.5,280.7,439.3,39.3
,"Bibb County, AL",1007,2011,2011,93,22766,408.5,329.7,500.4,42.4
,"Bibb County, AL",1007,2012,2012,95,22597,420.4,340.1,513.9,43.1
,"Bibb County, AL",1007,2013,2013,74,22512,328.7,258.1,412.7,38.2
,"Bibb County, AL",1007,2014,2014,76,22506,337.7,266.1,422.7,38.7
,"Bibb County, AL",1007,2015,2015,86,22583,380.8,304.6,470.3,41.1
,"Bibb County, AL",1007,2016,2016,79,22643,348.9,276.2,434.8,39.3
,"Blount County, AL",1009,2010,2010,168,57322,293.1,248.8,337.4,22.6
,"Blount County, AL",1009,2011,2011,209,57677,362.4,313.2,411.5,25.1
,"Blount County, AL",1009,2012,2012,164,57826,283.6,240.2,327,22.1
,"Blount County, AL",1009,2013,2013,162,57872,279.9,236.8,323,22
,"Blount County, AL",1009,2014,2014,184,57719,318.8,272.7,364.8,23.5
,"Blount County, AL",1009,2015,2015,201,57673,348.5,300.3,396.7,24.6
,"Blount County, AL",1009,2016,2016,199,57704,344.9,296.9,392.8,24.4
,"Bullock County, AL",1011,2010,2010,49,10914,449.0,332.1,593.6,64.1
,"Bullock County, AL",1011,2011,2011,40,10542,379.4,271.1,516.7,60
,"Bullock County, AL",1011,2012,2012,40,10474,381.9,272.8,520,60.4
,"Bullock County, AL",1011,2013,2013,41,10639,385.4,276.6,522.8,60.2
,"Bullock County, AL",1011,2014,2014,29,10764,269.4,180.4,386.9,50
,"Bullock County, AL",1011,2015,2015,39,10696,364.6,259.3,498.4,58.4
,"Bullock County, AL",1011,2016,2016,36,10362,347.4,243.3,481,57.9
,"Butler County, AL",1013,2010,2010,111,20947,529.9,431.3,628.5,50.3
,"Butler County, AL",1013,2011,2011,108,20650,523.0,424.4,621.6,50.3
,"Butler County, AL",1013,2012,2012,100,20307,492.4,395.9,589,49.2
,"Butler County, AL",1013,2013,2013,81,20265,399.7,317.4,496.8,44.4
,"Butler County, AL",1013,2014,2014,111,20296,546.9,445.2,648.6,51.9
,"Butler County, AL",1013,2015,2015,102,20154,506.1,407.9,604.3,50.1
,"Butler County, AL",1013,2016,2016,108,19998,540.1,438.2,641.9,52
,"Calhoun County, AL",1015,2010,2010,467,118572,393.9,358.1,429.6,18.2
,"Calhoun County, AL",1015,2011,2011,437,117797,371.0,336.2,405.8,17.7
,"Calhoun County, AL",1015,2012,2012,449,117296,382.8,347.4,418.2,18.1
,"Calhoun County, AL",1015,2013,2013,477,116736,408.6,371.9,445.3,18.7
,"Calhoun County, AL",1015,2014,2014,471,115916,406.3,369.6,443,18.7
,"Calhoun County, AL",1015,2015,2015,535,115620,462.7,423.5,501.9,20
,"Calhoun County, AL",1015,2016,2016,519,114611,452.8,413.9,491.8,19.9
,"Chambers County, AL",1017,2010,2010,165,34215,482.2,408.7,555.8,37.5
,"Chambers County, AL",1017,2011,2011,162,33939,477.3,403.8,550.8,37.5
,"Chambers County, AL",1017,2012,2012,160,34064,469.7,396.9,542.5,37.1
,"Chambers County, AL",1017,2013,2013,148,34162,433.2,363.4,503,35.6
