state,year,population,belt_dummy,fips,unemp_rate,employed,labor_force,unemployed,highway_miles,belt_date
Alabama,1976,3737368,0,01,6.788,1399249.28,1501140.96,101891.68,1367590.2,"July 18, 1991"
Alabama,1977,3787228,0,01,7.32,1453827.2,1568549.88,114722.68,1407516.4,"July 18, 1991"
Alabama,1978,3836401,0,01,6.352,1518427.2,1621490.52,103063.32,1447442.6,"July 18, 1991"
Alaska,1976,393479,0,02,7.564,151344.32,163715.96,12371.64,1367590.2,"September 12, 1990"
Alaska,1977,398155,0,02,9.872,155934.96,173007.76,17072.8,1407516.4,"September 12, 1990"
Alaska,1978,403301,0,02,10.648,162701.48,182051.84,19350.36,1447442.6,"September 12, 1990"
Arizona,1976,2349986,0,04,9.716,891555.12,987402.56,95847.44,1367590.2,"January 1, 1991"
Arizona,1977,2430816,0,04,8.212,956489,1041983.24,85494.24,1407516.4,"January 1, 1991"
Arizona,1978,2521569,0,04,6.036,1017611.36,1082901.92,65290.56,1447442.6,"January 1, 1991"
Arkansas,1976,2169513,0,05,6.988,829562.8,891741.48,62178.68,1367590.2,"July 15, 1991"
Arkansas,1977,2209528,0,05,6.464,869872.32,930031.28,60158.96,1407516.4,"July 15, 1991"
Arkansas,1978,2241861,0,05,6.184,893661.92,952586.52,58924.6,1447442.6,"July 15, 1991"
California,1976,21964973,0,06,9.2,7450511.58,8204021.64,753510.06,1367590.2,"January 1, 1986"
California,1977,22391026,0,06,8.412,7923899.16,8648754.94,724855.78,1407516.4,"January 1, 1986"
California,1978,22877677,0,06,7.232,8454026.12,9110708.44,656682.32,1447442.6,"January 1, 1986"
Colorado,1976,2634229,0,08,5.816,1169476.8,1241712.4,72235.6,1367590.2,"July 1, 1987"
Colorado,1977,2699679,0,08,6.368,1210693.28,1292926.52,82233.24,1407516.4,"July 1, 1987"
Colorado,1978,2770305,0,08,5.532,1273222.64,1347788.28,74565.64,1447442.6,"July 1, 1987"
Connecticut,1976,3083472,0,09,9.284,1321027.72,1456135,135107.28,1367590.2,"January 1, 1986"
Connecticut,1977,3088150,0,09,6.9959999999999996,1380874.12,1484722.2,103848.08,1407516.4,"January 1, 1986"
Connecticut,1978,3095187,0,09,5.228,1434831.72,1513861,79029.28,1447442.6,"January 1, 1986"
Delaware,1976,592492,0,10,8.78,241571.68,264848.96,23277.28,1367590.2,"January 1, 1992"
Delaware,1977,595211,0,10,8.46,249723.36,272814.08,23090.72,1407516.4,"January 1, 1992"
Delaware,1978,598626,0,10,7.404,256792.48,277349.84,20557.36,1447442.6,"January 1, 1992"
District of Columbia,1976,697977,0,11,8.975999999999999,305061.8,335150.92,30089.12,1367590.2,"December 12, 1985"
District of Columbia,1977,684187,0,11,9.172,300024.24,330303.72,30279.48,1407516.4,"December 12, 1985"
District of Columbia,1978,672100,0,11,8.264,307023.32,334703.88,27680.56,1447442.6,"December 12, 1985"
Florida,1976,8691113,0,12,9.14,3273108.76,3602468.04,329359.28,1367590.2,"July 1, 1986"
Florida,1977,8892351,0,12,8.176,3419904.64,3724141.52,304236.88,1407516.4,"July 1, 1986"
