Notes,State,State Code,Year,Year Code,Deaths,Population,Crude Rate,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Standard Error
NA,Alabama,01,1968,1968,33553,3389630,989.9,5.4,1359.7,7.9
NA,Alabama,01,1969,1969,33808,3420646,988.4,5.4,1334.6,7.7
NA,Alabama,01,1970,1970,33743,3450966,977.8,5.3,1313.7,7.6
NA,Alabama,01,1971,1971,33777,3503319,964.1,5.2,1276.1,7.3
NA,Alabama,01,1972,1972,34572,3541028,976.3,5.3,1279.8,7.3
NA,Alabama,01,1973,1973,35408,3579861,989.1,5.3,1290,7.2
NA,Alabama,01,1974,1974,34737,3627380,957.6,5.1,1222.6,6.9
NA,Alabama,01,1975,1975,33658,3679228,914.8,5,1157,6.6
NA,Alabama,01,1976,1976,34193,3737368,914.9,4.9,1159.4,6.5
NA,Alabama,01,1977,1977,34827,3787228,919.6,4.9,1149.1,6.4
NA,Alabama,01,1978,1978,34680,3836401,904,4.9,1117.4,6.2
NA,Alaska,02,1968,1968,1349,288511,467.6,12.7,1282.6,50.6
NA,Alaska,02,1969,1969,1303,296304,439.8,12.2,1239.8,49.1
NA,Alaska,02,1970,1970,1438,303679,473.5,12.5,1208.2,46
NA,Alaska,02,1971,1971,1474,317012,465,12.1,1206.3,45.1
NA,Alaska,02,1972,1972,1440,326586,440.9,11.6,1179.6,43.9
NA,Alaska,02,1973,1973,1459,332940,438.2,11.5,1188.6,43.9
NA,Alaska,02,1974,1974,1489,344834,431.8,11.2,1101.7,40.6
NA,Alaska,02,1975,1975,1529,371084,412,10.5,1049.2,38.7
NA,Alaska,02,1976,1976,1623,393479,412.5,10.2,1041.7,38.3
NA,Alaska,02,1977,1977,1615,398155,405.6,10.1,1051.3,38.3
NA,Alaska,02,1978,1978,1690,403301,419,10.2,1047.9,37.2
NA,Arizona,04,1968,1968,13780,1635753,842.4,7.2,1231.4,11.7
NA,Arizona,04,1969,1969,14031,1714047,818.6,6.9,1184.2,11.1
NA,Arizona,04,1970,1970,14865,1781244,834.5,6.8,1191.3,10.8
NA,Arizona,04,1971,1971,15669,1900461,824.5,6.6,1167.4,10.3
NA,Arizona,04,1972,1972,15810,2010557,786.3,6.3,1089.8,9.5
NA,Arizona,04,1973,1973,16847,2125744,792.5,6.1,1115.4,9.4
NA,Arizona,04,1974,1974,17050,2225627,766.1,5.9,1057.9,8.8
NA,Arizona,04,1975,1975,16980,2286975,742.5,5.7,1007.8,8.4
NA,Arizona,04,1976,1976,17339,2349986,737.8,5.6,981.8,8
NA,Arizona,04,1977,1977,18028,2430816,741.6,5.5,961,7.7
NA,Arizona,04,1978,1978,19198,2521569,761.4,5.5,965.8,7.4
NA,Arkansas,05,1968,1968,20947,1868694,1120.9,7.7,1269.5,9.1
NA,Arkansas,05,1969,1969,20750,1899459,1092.4,7.6,1229.5,8.9
NA,Arkansas,05,1970,1970,20664,1927204,1072.2,7.5,1195.2,8.6
NA,Arkansas,05,1971,1971,20844,1975096,1055.3,7.3,1170,8.4
NA,Arkansas,05,1972,1972,21798,2018461,1079.9,7.3,1196.2,8.4
NA,Arkansas,05,1973,1973,22156,2058222,1076.5,7.2,1193.3,8.3
NA,Arkansas,05,1974,1974,22226,2100719,1058,7.1,1167.5,8.1
NA,Arkansas,05,1975,1975,21700,2158071,1005.5,6.8,1109.2,7.8
NA,Arkansas,05,1976,1976,21336,2169513,983.4,6.7,1074.4,7.6
NA,Arkansas,05,1977,1977,21364,2209528,966.9,6.6,1043.2,7.3
NA,Arkansas,05,1978,1978,21896,2241861,976.7,6.6,1047.9,7.3
NA,California,06,1968,1968,160806,19577730,821.4,2,1177.7,3.1
NA,California,06,1969,1969,166077,19795002,839,2.1,1189.2,3.1
NA,California,06,1970,1970,166338,20004933,831.5,2,1158.1,3
NA,California,06,1971,1971,169322,20347014,832.2,2,1149.8,2.9
NA,California,06,1972,1972,169984,20567494,826.5,2,1126.9,2.8
NA,California,06,1973,1973,172710,20847325,828.5,2,1120.6,2.8
NA,California,06,1974,1974,170403,21173032,804.8,1.9,1071.1,2.7
NA,California,06,1975,1975,170687,21548964,792.1,1.9,1037.8,2.6
NA,California,06,1976,1976,171022,21964973,778.6,1.9,1017.9,2.5
NA,California,06,1977,1977,170399,22391026,761,1.8,980.2,2.4
NA,California,06,1978,1978,176069,22877677,769.6,1.8,983,2.4
NA,Colorado,08,1968,1968,17726,2097804,845,6.3,1228.1,9.7
NA,Colorado,08,1969,1969,17117,2160332,792.3,6.1,1161.7,9.3
NA,Colorado,08,1970,1970,17433,2213846,787.5,6,1144,9
NA,Colorado,08,1971,1971,17887,2305234,775.9,5.8,1139,8.9
NA,Colorado,08,1972,1972,17824,2403338,741.6,5.6,1101.5,8.6
NA,Colorado,08,1973,1973,18674,2493738,748.8,5.5,1126.9,8.6
NA,Colorado,08,1974,1974,17922,2539958,705.6,5.3,1048.1,8.1
NA,Colorado,08,1975,1975,17434,2586234,674.1,5.1,989.6,7.7
NA,Colorado,08,1976,1976,17999,2634229,683.3,5.1,1006.3,7.8
