"","Notes","State","State.Code","Year","Year.Code","Month","Month.Code","Deaths","Population","Crude.Rate"
"1","","Alabama",1,1999,1999,"Jan., 1999","1999/01",4136,"Not Applicable","Not Applicable"
"2","","Alabama",1,1999,1999,"Feb., 1999","1999/02",3631,"Not Applicable","Not Applicable"
"3","","Alabama",1,1999,1999,"Mar., 1999","1999/03",4409,"Not Applicable","Not Applicable"
"4","","Alabama",1,1999,1999,"Apr., 1999","1999/04",3805,"Not Applicable","Not Applicable"
"5","","Alabama",1,1999,1999,"May, 1999","1999/05",3649,"Not Applicable","Not Applicable"
"6","","Alabama",1,1999,1999,"Jun., 1999","1999/06",3389,"Not Applicable","Not Applicable"
"7","","Alabama",1,1999,1999,"Jul., 1999","1999/07",3469,"Not Applicable","Not Applicable"
"8","","Alabama",1,1999,1999,"Aug., 1999","1999/08",3480,"Not Applicable","Not Applicable"
"9","","Alabama",1,1999,1999,"Sep., 1999","1999/09",3450,"Not Applicable","Not Applicable"
"10","","Alabama",1,1999,1999,"Oct., 1999","1999/10",3541,"Not Applicable","Not Applicable"
"11","","Alabama",1,1999,1999,"Nov., 1999","1999/11",3593,"Not Applicable","Not Applicable"
"12","","Alabama",1,1999,1999,"Dec., 1999","1999/12",4254,"Not Applicable","Not Applicable"
"13","Total","Alabama",1,1999,1999,"","",44806,"Not Applicable","Not Applicable"
"14","","Alabama",1,2000,2000,"Jan., 2000","2000/01",4782,"Not Applicable","Not Applicable"
"15","","Alabama",1,2000,2000,"Feb., 2000","2000/02",3932,"Not Applicable","Not Applicable"
"16","","Alabama",1,2000,2000,"Mar., 2000","2000/03",3736,"Not Applicable","Not Applicable"
"17","","Alabama",1,2000,2000,"Apr., 2000","2000/04",3513,"Not Applicable","Not Applicable"
"18","","Alabama",1,2000,2000,"May, 2000","2000/05",3629,"Not Applicable","Not Applicable"
"19","","Alabama",1,2000,2000,"Jun., 2000","2000/06",3480,"Not Applicable","Not Applicable"
"20","","Alabama",1,2000,2000,"Jul., 2000","2000/07",3551,"Not Applicable","Not Applicable"
