"","year","total_miles","highway_miles"
"1",1960,718763,718763
"2",1961,NA,752572.6
"3",1962,NA,786382.2
"4",1963,NA,820191.8
"5",1964,NA,854001.4
"6",1965,887811,887811
"7",1966,NA,932193.6
"8",1967,NA,976576.2
"9",1968,NA,1020958.8
"10",1969,NA,1065341.4
"11",1970,1109724,1109724
"12",1971,NA,1153312
"13",1972,NA,1196900
"14",1973,NA,1240488
"15",1974,NA,1284076
"16",1975,1327664,1327664
"17",1976,NA,1367590.2
"18",1977,NA,1407516.4
"19",1978,NA,1447442.6
"20",1979,NA,1487368.8
"21",1980,1527295,1527295
"22",1981,NA,1576801.4
"23",1982,NA,1626307.8
"24",1983,NA,1675814.2
"25",1984,NA,1725320.6
"26",1985,1774827,1774827
"27",1986,NA,1848734
"28",1987,NA,1922641
"29",1988,NA,1996548
"30",1989,NA,2070455
"31",1990,2144362,2144362
"32",1991,2172050,2172050
"33",1992,2247151,2247151
"34",1993,2296378,2296378
"35",1994,2357588,2357588
"36",1995,2422696,2422696
"37",1996,2485848,2485848
"38",1997,2561695,2561695
"39",1998,2631522,2631522
"40",1999,2691056,2691056
"41",2000,2746925,2746925
"42",2001,2795610,2795610
"43",2002,2855508,2855508
"44",2003,2890221,2890221
"45",2004,2964788,2964788
"46",2005,2989430,2989430
"47",2006,3014371,3014371
"48",2007,3031124,3031124
"49",2008,2976527,2976527
"50",2009,2956763,2956763
"51",2010,2967265,2967265
"52",2011,2950401,2950401
"53",2012,2969432,2969432
"54",2013,2988280,2988280
"55",2014,3025655,3025655
"56",2015,3095372,3095372
"57",2016,3174407,3174407
